SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-21-1,2344622,cat,Which description best matches the image?,cat laying on blue blanket next to woman typing on keyboard,27241,1
Encode-Decode_Experiment-21-1,2347025,umbrella,Which description best matches the image?,baby on womans back holding umbrella,13360,2
Encode-Decode_Experiment-21-1,2412687,dog,Which description best matches the image?,dog biting a red frisbee that a man is holding,23803,3
Encode-Decode_Experiment-21-1,2394020,horse ride,Which description best matches the image?,two men riding horses in cowboy hats along th ebeach,16324,4
Encode-Decode_Experiment-21-1,2408717,surfboard,Which description best matches the image?,4 women holding surfboards walking towards to sea,17825,5
Encode-Decode_Experiment-21-1,2350974,drink,Which description best matches the image?,two men sat on a couch smelling wine,17282,6
Encode-Decode_Experiment-21-1,2362704,bears,Which description best matches the image?,two bears eating pumpkin,9433,7
Encode-Decode_Experiment-21-1,2409918,elephant,Which description best matches the image?,two men on top of elephants that were swimming in water. one was eating,29882,8
Encode-Decode_Experiment-21-1,2385851,suitcase,Which description best matches the image?,two men were carryinh red suitcases underneath a covered passageway,24977,9
Encode-Decode_Experiment-21-1,2370664,donuts,Which description best matches the image?,three people in the street were all eating donuts. two women aand one man,30931,10
Encode-Decode_Experiment-21-1,2387122,polar bear,Which description best matches the image?,polar bear was in water pressed up against the encolsure glass. person infront of the polar bear was holding a camera,38625,11
Encode-Decode_Experiment-21-1,2410309,laptop,Which description best matches the image?,woman and baby sat on a sofa. woman had the laptop on her lap. baby was sat next to laptop and was touching the keyboard,53622,12
Encode-Decode_Experiment-21-1,2379478,baby-milk,Which description best matches the image?,two babies were laying down on a bed drinking milk out of a bottle,18487,13
Encode-Decode_Experiment-21-1,2360001,clock,Which description best matches the image?,men were stood on svaffolding raising a clock,17501,14
Encode-Decode_Experiment-21-1,2347400,wine,Which description best matches the image?,two men sat on a sofa smelling wine,10820,15
Encode-Decode_Experiment-21-1,2383555,boat,Which description best matches the image?,4 people on a boat. 3 women and 1 child. woman at the back was rowing th eboat. woman at front was holding child,35524,16
Encode-Decode_Experiment-21-1,2386442,teeth,Which description best matches the image?,two children had tangerines in their mouths,14384,17
Encode-Decode_Experiment-21-1,2369373,chef,Which description best matches the image?,chef was making a pizza in a mouth shaped oven using a pizza paddle,20059,18
Encode-Decode_Experiment-21-1,2371471,bike-stuntmen,Which description best matches the image?,two bike riders. one was doing a hanstand. aiming to land on a dirt ramp,22962,19
Encode-Decode_Experiment-21-1,2349475,blender,Which description best matches the image?,three people in image. woman was holding top of the blender. man was powering the blender by riding a bicycle,34646,20
Encode-Decode_Experiment-21-1,150472,pizza-slice,Which description best matches the image?,two women eating a pizza slice that was on a paper plate in the street,20230,21
Encode-Decode_Experiment-21-1,2345035,football,Which description best matches the image?,,14999,22
Encode-Decode_Experiment-21-1,2385550,tangerines,Which description best matches the image?,two children with tangerines in their mouths,15489,23
Encode-Decode_Experiment-21-1,2356125,airport,Which description best matches the image?,4 suited individuals in image. two were taking luggage off the conveyor belt.,32486,24
Encode-Decode_Experiment-21-1,2348899,tie,Which description best matches the image?,"4 people in image. two men sat down, one stood up crouching. woman was touching one of the mens ties",44364,25
Encode-Decode_Experiment-21-1,2374670,spray-vehicle,Which description best matches the image?,man was stood on the bavk of vehcile spraying water onto street,22312,26
Encode-Decode_Experiment-21-1,2367132,video game,Which description best matches the image?,"two men were playing a bideo game holding remotes in both hands, girl was sat on sofa watching thm",31206,27
Encode-Decode_Experiment-21-1,2397102,cake,Which description best matches the image?,couple were slicing a cake,8526,28
Encode-Decode_Experiment-21-1,2411268,apple,Which description best matches the image?,child was underneath an apple tree holding a red bag,12835,29
Encode-Decode_Experiment-21-1,2356991,baseball,Which description best matches the image?,fielder was catching the ball. other player was sliding head first towards base,23259,30
