SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-14-1,2369373,chef,Which description best matches the image?,a chef in a white uniform using a pizza slice to get pizza out of an open over with fire. above the oven there is a stone figure of a face,65556,1
Encode-Decode_Experiment-14-1,2394020,horse ride,Which description best matches the image?,two men are riding brown and white horses on the sand by the beach. there is the sea behind them. the men are wearing cowboy hats,62576,2
Encode-Decode_Experiment-14-1,2387122,polar bear,Which description best matches the image?,a white polar bear is in the water of an aquarium with paws on the glass. the woman is wearing glasses and looking closely at the polar bear,38986,3
Encode-Decode_Experiment-14-1,2408717,surfboard,Which description best matches the image?,four women are carrying their surfboards to the sea. two have a white surfboard and two have a green one,31476,4
Encode-Decode_Experiment-14-1,2362704,bears,Which description best matches the image?,two black bears are laying down and eating pumpkins,22395,5
Encode-Decode_Experiment-14-1,2348899,tie,Which description best matches the image?,three men and one woman are in this picture. the three men are sat down and the woman is touching the third man's pink and white tie,45677,6
Encode-Decode_Experiment-14-1,2409918,elephant,Which description best matches the image?,two grey elephants are swimming in water of a cave and two men are riding them,26700,7
Encode-Decode_Experiment-14-1,2397102,cake,Which description best matches the image?,a man and a woman are cutting a cake. the man is holding a beer bottle in the other hand. the woman is wearing a pink dress,34121,8
Encode-Decode_Experiment-14-1,2371471,bike-stuntmen,Which description best matches the image?,"two men are riding motocycles and jumping in mid air, headed toward a dirt ramp. the man in front is doing a handstand on the bike",35350,9
Encode-Decode_Experiment-14-1,2367132,video game,Which description best matches the image?,two men are holding the remote in both hands and a girl is sat on the couch behind,24467,10
Encode-Decode_Experiment-14-1,2385550,tangerines,Which description best matches the image?,a boy on the left and a girl on the right have tangerines in their mouths,24721,11
Encode-Decode_Experiment-14-1,2370664,donuts,Which description best matches the image?,"three people have sugar donuts in their mouths, eating them outside on the street",22622,12
Encode-Decode_Experiment-14-1,2410309,laptop,Which description best matches the image?,a woman and a baby are both using two separate laptops,20527,13
Encode-Decode_Experiment-14-1,2344622,cat,Which description best matches the image?,a cat is lying down,14068,14
Encode-Decode_Experiment-14-1,2411268,apple,Which description best matches the image?,a girl with pink boots is picking apples from a high branch and putting them into a red bag,26178,15
Encode-Decode_Experiment-14-1,2360001,clock,Which description best matches the image?,"a group of people are stood on scaffolding, attempting to raise the clock",21349,16
Encode-Decode_Experiment-14-1,2412687,dog,Which description best matches the image?,,9321,17
Encode-Decode_Experiment-14-1,2386442,teeth,Which description best matches the image?,,9158,18
Encode-Decode_Experiment-14-1,2345035,football,Which description best matches the image?,"two girls, one with a black top and one with a blue top are chasing the football in a field",26088,19
Encode-Decode_Experiment-14-1,2356125,airport,Which description best matches the image?,,1271,20
Encode-Decode_Experiment-14-1,2349475,blender,Which description best matches the image?,one person is riding a bike next to the blender and the woman is holding the lid of the blender,29862,21
Encode-Decode_Experiment-14-1,2379478,baby-milk,Which description best matches the image?,"two babies are lying on a bed, drinking milk out of a bottle",17597,22
Encode-Decode_Experiment-14-1,2347025,umbrella,Which description best matches the image?,a woman is holding a baby on her back and the baby is holding a pink umbrella,24254,23
Encode-Decode_Experiment-14-1,2356991,baseball,Which description best matches the image?,one man on the base is trying to catch the ball. another man is diving head-first for the base,26070,24
Encode-Decode_Experiment-14-1,2350974,drink,Which description best matches the image?,,948,25
Encode-Decode_Experiment-14-1,2385851,suitcase,Which description best matches the image?,two men are carrying two big red suitcases up a ramp under a cover. they're carrying the suitcases on their backs,31927,26
Encode-Decode_Experiment-14-1,2383555,boat,Which description best matches the image?,,1875,27
Encode-Decode_Experiment-14-1,2374670,spray-vehicle,Which description best matches the image?,a man is on the back of a red truck that is spraying water on the ground,21762,28
Encode-Decode_Experiment-14-1,150472,pizza-slice,Which description best matches the image?,two women are sharing a pizza slice off a paper plate,17318,29
Encode-Decode_Experiment-14-1,2347400,wine,Which description best matches the image?,two men are sat on the couch and both have a glass of red wine that they are smelling,29826,30
