SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-4-1,2371471,motorcycle,Which description best matches the image?,two men riding motorcycles one of them was doing a handstand on the bike and the other was sitting down they were in a warehouse and there was a dirt ramp in view the man doing the handstand was to the right of the man sitting down,60180,1
Encode-Decode_Experiment-4-1,2385851,suitcase,Which description best matches the image?,"to men carrying red suitcases on their backs, walking through a covered shelter away from the screen",33790,2
Encode-Decode_Experiment-4-1,2394020,horse ride,Which description best matches the image?,"two men riding black white and brown horses along a beach, riding from my perspective to the right and both wearing cowboy hats and shirts/jeans",44416,3
Encode-Decode_Experiment-4-1,2369373,chef,Which description best matches the image?,man in white chef outfit and hat using a pizza paddle to put a pizza into pizza oven. oven looked like an open mout and was made of stone. fire inside oven,40345,4
Encode-Decode_Experiment-4-1,2412687,dog,Which description best matches the image?,"man in a grey outfit playing with a golden retriver dog in a garden, appeared to be nighttime. man i holding a red frisbee and standing to the right on the dog",41493,5
Encode-Decode_Experiment-4-1,2344622,cat,Which description best matches the image?,cat lying on a b;ue blamket to the left of a key board where a womens hand is lying. woman has long nails,36588,6
Encode-Decode_Experiment-4-1,2360001,clock,Which description best matches the image?,,40965,7
Encode-Decode_Experiment-4-1,2411268,apple,Which description best matches the image?,child in garden picking green apples from a tree. the child is holding a red bag in left hand and reaches up with other hand there is another child in the background to the left (from my perspective),48952,8
Encode-Decode_Experiment-4-1,2370664,donuts,Which description best matches the image?,,18507,9
Encode-Decode_Experiment-4-1,2347400,wine,Which description best matches the image?,"two men sat on a sofa are smelling red wine, one has a blue shirt with a face on it and the other is wearing grey, men have short hair",49913,10
Encode-Decode_Experiment-4-1,2410309,laptop,Which description best matches the image?,,29422,11
Encode-Decode_Experiment-4-1,2374670,spray-vehicle,Which description best matches the image?,a man is standing on the back of a red truck which is spraying water from the bottom. the red truck appears to be driving down street and the mans back is facing screen. the truck has a green hose on it. man stands on left side of back of truck,71005,12
Encode-Decode_Experiment-4-1,2383555,boat,Which description best matches the image?,"three women and a baby are in a raft through a stream. the child is at the fron of the boat amd the woman behind is holding on to him, she wears a hat",53022,13
Encode-Decode_Experiment-4-1,2350974,drink,Which description best matches the image?,"a child drinks from a nearly emtpy bottle of coke as he leans on a red car. he is between the red car and a blue motorbike, he has short brown hair",32983,14
Encode-Decode_Experiment-4-1,2367132,video game,Which description best matches the image?,"two men play wii im living room setting. they both hold on to a controller in each hand, there is a girl in the background sitting on a brown/beige sofa",44274,15
Encode-Decode_Experiment-4-1,2408717,surfboard,Which description best matches the image?,four women in wetsuits carry surfboards towards the sea. the two women to the right of the screen carrying blue/ turquoise surdfboards and the other two woemne carry mostly white surfboards,45680,16
Encode-Decode_Experiment-4-1,2379478,baby-milk,Which description best matches the image?,,27368,17
Encode-Decode_Experiment-4-1,2356125,airport,Which description best matches the image?,,5787,18
Encode-Decode_Experiment-4-1,2385550,tangerines,Which description best matches the image?,"two children a girl and a boy have tangerine piece in their mouths. the girl is on the rught side and has a fringe, they both have brown eyes",42164,19
Encode-Decode_Experiment-4-1,2348899,tie,Which description best matches the image?,"a man sitting down has a tie on and another tie thats pink and stripey around his neck. a women is standing over him to the right and is touchin ghte tie, two men are sitting to the left of him and one is wearing a black and white stripey shirt",59960,20
Encode-Decode_Experiment-4-1,2409918,elephant,Which description best matches the image?,two men are on top of two elephants in a stream. on the left the man sits on the eleohant and on the right the man stands. the elephants are eating,48299,21
Encode-Decode_Experiment-4-1,2387122,polar bear,Which description best matches the image?,a blonde short haired woman is taking photographs of a polar bear which is opposite to her in water. the polar bear has its paws pressedup against the glass enclosure that it sits in,58112,22
Encode-Decode_Experiment-4-1,2362704,bears,Which description best matches the image?,two black bears sit on the ground eating two pumpkins which are torn apart,27621,23
Encode-Decode_Experiment-4-1,150472,pizza,Which description best matches the image?,chef in white uniform and chef hat uses pizza paddle to put pizza into oven. the pizza ove is made from stone and looks like a large open mouth. there is fire seen inside the oven,51631,24
Encode-Decode_Experiment-4-1,2356991,baseball,Which description best matches the image?,a man dives head first towards a base whilst the other appears to be trying to catch him out. one of the men is wearing a glove. uniforms are white and red. the man catching the other out is standing upright,70295,25
Encode-Decode_Experiment-4-1,2397102,cake,Which description best matches the image?,a woman and a man are cutting a cake together. he holds the knife with one hand and she holds it with two. she wears a red strapless dress and he holds a beer in his free hand in a brown bottle. the icing on the cake is red yellow and blue and white,61884,26
Encode-Decode_Experiment-4-1,2345035,football,Which description best matches the image?,two girls are chasing a football away from the screen. thereare other players on the footbacll pitch. the two girls chasing are numbers 20 and 3 and both have ling hair in ponytails,50913,27
Encode-Decode_Experiment-4-1,2347025,umbrella,Which description best matches the image?,a woman holds a small child on her back who is holding an umberella. the woman faces the camera directly and is smiling. the umberella is multicoloured and the child wears a raincoat,51590,28
Encode-Decode_Experiment-4-1,2349475,blender,Which description best matches the image?,"there is a yellow looking drink inside of a large blender. a man peddles a bike which appears to be connected to the blender. a woman stands to the other side of the blender which is the right side. a man stands behind the blender in the background but his face cannot be seen. the man on the bike is looking at the camera and smiling, they are wearing sportswear",76752,29
Encode-Decode_Experiment-4-1,2386442,teeth,Which description best matches the image?,"a woman man and ababy are all brushing their teeth. they all have bworn hair. the man wears a pink shirts and the baby a checkered one. the woman wears glasses, they all look directly towards the camera",40908,30
