SubjectID,StimID,CueText,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-22-1,2397102,cake,What is the man holding besides the cake knife?,1,4541,3,3,1
Encode-Decode_Experiment-22-1,2356991,baseball,What is the current action of the gloved player on the base?,1,6806,2,2,2
Encode-Decode_Experiment-22-1,2356991,baseball,How is the player on the left (from your perspective) reaching the base?,1,6021,1,1,3
Encode-Decode_Experiment-22-1,150472,pizza-slice,How many women are in the scene?,1,2388,4,4,4
Encode-Decode_Experiment-22-1,2348899,tie,Where is the woman located relative to the man? (from your perspective),1,3043,1,1,5
Encode-Decode_Experiment-22-1,2348899,tie,What is the woman doing?,1,5785,4,4,6
Encode-Decode_Experiment-22-1,2370664,donuts,How many donuts are in the scene?,1,2193,4,4,7
Encode-Decode_Experiment-22-1,2394020,horse ride,Where is the scene taking place?,1,3713,1,1,8
Encode-Decode_Experiment-22-1,2385851,suitcase,Where are the men?,1,4244,3,3,9
Encode-Decode_Experiment-22-1,2369373,chef,What is the appearance of the oven?,1,2969,3,3,10
Encode-Decode_Experiment-22-1,2374670,spray-vehicle,What vehicle sprays water in the scene?,0,3417,2,1,11
Encode-Decode_Experiment-22-1,2344622,cat,What is the cat resting its head on?,1,2609,4,4,12
Encode-Decode_Experiment-22-1,2371471,bike-stuntmen,What is nearest to the motorcyclists?,1,9232,3,3,13
Encode-Decode_Experiment-22-1,2369373,chef,What tool is the chef using?,1,2855,3,3,14
Encode-Decode_Experiment-22-1,2408717,surfboard,How many surfers are in the scene?,1,2340,2,2,15
Encode-Decode_Experiment-22-1,2397102,cake,What are the couple doing with the cake?,1,3847,1,1,16
Encode-Decode_Experiment-22-1,2412687,dog,What is the human's body position?,1,3323,3,3,17
Encode-Decode_Experiment-22-1,2409918,elephant,Where are the elephants in the scene?,1,3334,4,4,18
Encode-Decode_Experiment-22-1,150472,pizza-slice,Where is the pizza slice located?,1,2137,2,2,19
Encode-Decode_Experiment-22-1,2409918,elephant,What is the elephant on the right (from your perspective) doing with its trunk?,1,9139,2,2,20
Encode-Decode_Experiment-22-1,2356125,airport,Where is the luggage being moved to?,1,5877,1,1,21
Encode-Decode_Experiment-22-1,2385550,tangerines,Where are the tangerines in the scene?,1,2786,4,4,22
Encode-Decode_Experiment-22-1,2386442,teeth,Who is brushing their teeth in the scene?,1,3211,1,1,23
Encode-Decode_Experiment-22-1,2412687,dog,What is the dog biting onto in the scene?,1,5690,4,4,24
Encode-Decode_Experiment-22-1,2347025,umbrella,Who is holding the umbrella in the scene?,1,4094,2,2,25
Encode-Decode_Experiment-22-1,2350974,drink,What is the child up against?,1,4073,1,1,26
Encode-Decode_Experiment-22-1,2370664,donuts,Where are the people located in the scene?,1,2439,1,1,27
Encode-Decode_Experiment-22-1,2394020,horse ride,What are the riders wearing on their heads?,1,2708,2,2,28
Encode-Decode_Experiment-22-1,2410309,laptop,How many laptops or electronic devices are visible?,1,2495,4,4,29
Encode-Decode_Experiment-22-1,2411268,apple,What is the child holding while picking fruit?,0,7363,4,2,30
Encode-Decode_Experiment-22-1,2367132,video game,How many men are playing in the scene?,1,2052,2,2,31
Encode-Decode_Experiment-22-1,2356125,airport,How many uniformed staff are moving the luggage?,1,3235,2,2,32
Encode-Decode_Experiment-22-1,2349475,blender,What is the man doing to power the blender?,0,4424,4,1,33
Encode-Decode_Experiment-22-1,2362704,bears,How many bears are in the scene?,1,1102,2,2,34
Encode-Decode_Experiment-22-1,2386442,teeth,What is the person on the right wearing?,1,3090,3,3,35
Encode-Decode_Experiment-22-1,2344622,cat,Where is the cat located?,1,4071,2,2,36
Encode-Decode_Experiment-22-1,2360001,clock,What are the workers doing to the clock?,1,3187,4,4,37
Encode-Decode_Experiment-22-1,2379478,baby-milk,How many babies are visible in the scene?,1,1236,2,2,38
Encode-Decode_Experiment-22-1,2374670,spray-vehicle,Where is the man standing relative to the vehicle?,0,7186,4,3,39
Encode-Decode_Experiment-22-1,2347400,wine,What are the men sitting on in the scene?,1,2027,1,1,40
Encode-Decode_Experiment-22-1,2347400,wine,What are the men doing with the wine?,1,2265,3,3,41
Encode-Decode_Experiment-22-1,2367132,video game,In which hand(s) are the men holding the controllers?,1,3198,4,4,42
Encode-Decode_Experiment-22-1,2387122,polar bear,Where is the polar bear located in the scene?,1,2798,3,3,43
Encode-Decode_Experiment-22-1,2383555,boat,Who is holding the child in the boat?,1,2814,2,2,44
Encode-Decode_Experiment-22-1,2350974,drink,Between which two objects is the child standing?,0,3173,1,4,45
Encode-Decode_Experiment-22-1,2371471,bike-stuntmen,What stunt is one motorcyclist performing?,1,7030,2,2,46
Encode-Decode_Experiment-22-1,2410309,laptop,What is the baby touching?,0,2845,1,2,47
Encode-Decode_Experiment-22-1,2408717,surfboard,What are the surfers doing with the surfboards?,1,3242,3,3,48
Encode-Decode_Experiment-22-1,2387122,polar bear,What is the polar bear doing next to the enclosure edge?,1,4478,1,1,49
Encode-Decode_Experiment-22-1,2379478,baby-milk,What is the position of the babies?,0,3851,3,4,50
Encode-Decode_Experiment-22-1,2411268,apple,Where is the fruit branch relative to the child?,1,3801,4,4,51
Encode-Decode_Experiment-22-1,2385550,tangerines,Which side of the frame is the boy on? (from your perspective),1,3147,3,3,52
Encode-Decode_Experiment-22-1,2345035,football,What are the people doing with the football?,1,6509,3,3,53
Encode-Decode_Experiment-22-1,2347025,umbrella,Where is the baby in relation to the mother?,1,4024,1,1,54
Encode-Decode_Experiment-22-1,2385851,suitcase,What are the men doing with the suitcases?,1,2159,2,2,55
Encode-Decode_Experiment-22-1,2345035,football,Who runs toward the football in the scene?,0,3104,1,2,56
Encode-Decode_Experiment-22-1,2383555,boat,What is the woman at the back doing in the boat?,1,2900,4,4,57
Encode-Decode_Experiment-22-1,2349475,blender,Which part of the blender is the woman holding?,1,3751,3,3,58
Encode-Decode_Experiment-22-1,2360001,clock,Where are the men standing?,0,7016,2,4,59
Encode-Decode_Experiment-22-1,2362704,bears,What are the bears doing with the pumpkins?,1,3279,4,4,60
