SubjectID,StimID,CueText,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-9-1,2411268,apple,a{SPACE}blonde{SPACE}girl{SPACE}reaching{SPACE}for{SPACE}a{SPACE}green{SPACE}apple{SPACE}at{SPACE}head{SPACE}height{.}{SPACE}{CAPSLOCK}S{CAPSLOCK}he{SPACE}is{SPACE}carrying{SPACE}a{SPACE}red{SPACE}bag{SPACE}and{SPACE}is{SPACE}surrounded{SPACE}by{SPACE}trees{SPACE}{ENTER},53936,1
Encode-Decode_Experiment-9-1,2412687,dog,{CAPSLOCK}A{SPACE}{CAPSLOCK}brown{SPACE}dog{SPACE}is{SPACE}about{SPACE}to{SPACE}bite{SPACE}a{SPACE}red{SPACE}frisbee{.}{SPACE}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}T{CAPSLOCK}he{SPACE}owner{SPACE}who{SPACE}is{SPACE}white{SPACE}with{SPACE}brown{SPACE}hair{SPACE}is{SPACE}giving{SPACE}it{SPACE}to{SPACE}him{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}in{SPACE}a{SPACE}garden{SPACE}at{SPACE}night{.}{ENTER},53880,2
Encode-Decode_Experiment-9-1,2387122,polar bear,a{SPACE}polar{SPACE}bear{SPACE}is{SPACE}putting{SPACE}its{SPACE}paw{SPACE}on{SPACE}a{SPACE}glass{SPACE}barrier{.}{SPACE}a{SPACE}blonde{SPACE}woman{SPACE}is{SPACE}holding{SPACE}a{SPACE}camera{SPACE}and{SPACE}taking{SPACE}a{SPACE}photo{SPACE}of{SPACE}the{SPACE}polar{SPACE}bear{.}{SPACE}{CAPSLOCK}{CAPSLOCK}behind{SPACE}the{SPACE}bear{SPACE}is{SPACE}rocks{SPACE}and{SPACE}some{SPACE}green{SPACE}patch{.}{ENTER},69611,3
Encode-Decode_Experiment-9-1,2347400,wine,2{SPACE}men{SPACE}are{SPACE}sat{SPACE}on{SPACE}a{SPACE}couch{SPACE}smelling{SPACE}wine{SPACE}near{SPACE}their{SPACE}noses{.}{SPACE}the{SPACE}couch{SPACE}is{SPACE}white{SPACE}and{SPACE}they{SPACE}are{SPACE}in{SPACE}a{SPACE}living{SPACE}room{.}{SPACE}both{SPACE}men{SPACE}are{SPACE}white{SPACE}and{SPACE}young{SPACE}and{SPACE}have{SPACE}brown{SPACE}hair{.}{SPACE}the{SPACE}man{SPACE}on{SPACE}the{SPACE}left{SPACE}is{SPACE}wearing{SPACE}a{SPACE}blue{SPACE}shirt{.}{SPACE}the{SPACE}wine{SPACE}is{SPACE}red{.}{SPACE}its{SPACE}night{SPACE}time{.}{ENTER},60290,4
Encode-Decode_Experiment-9-1,2367132,video game,3{SPACE}people{SPACE}are{SPACE}in{SPACE}a{SPACE}living{SPACE}room{.}{SPACE}one{SPACE}is{SPACE}a{SPACE}young{SPACE}girl{SPACE}who{SPACE}is{SPACE}lying{SPACE}on{SPACE}a{SPACE}sofa{.}{SPACE}the{SPACE}other{SPACE}two{SPACE}are{SPACE}both{SPACE}men{SPACE}playing{SPACE}a{SPACE}video{SPACE}game{.}{SPACE}the{SPACE}controllers{SPACE}are{SPACE}white{SPACE}and{SPACE}in{SPACE}both{SPACE}hands{SPACE}of{SPACE}both{SPACE}men{.}{SPACE}they{SPACE}are{SPACE}pulling{SPACE}karate{SPACE}poses{.}{ENTER},58444,5
Encode-Decode_Experiment-9-1,2410309,laptop,a{SPACE}woman{SPACE}and{SPACE}a{SPACE}child{SPACE}are{SPACE}sat{SPACE}on{SPACE}a{SPACE}sofa{SPACE}both{SPACE}with{SPACE}laptops{.}{SPACE}the{SPACE}child{SPACE}has{SPACE}its{SPACE}hand{SPACE}on{SPACE}the{SPACE}touch{SPACE}pad{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}sat{SPACE}towards{SPACE}the{SPACE}camera{SPACE}also{SPACE}on{SPACE}a{SPACE}laoptop{.}{SPACE}the{SPACE}child{SPACE}has{SPACE}blonde{SPACE}hair{.}{SPACE}the{SPACE}wall{SPACE}behind{SPACE}them{SPACE}is{SPACE}white{.}{ENTER},82761,6
Encode-Decode_Experiment-9-1,2394020,horse ride,two{SPACE}men{SPACE}on{SPACE}two{SPACE}seperate{SPACE}horses{SPACE}are{SPACE}riding{SPACE}on{SPACE}a{SPACE}beach{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}wearing{SPACE}shirts{SPACE}and{SPACE}cowboy{SPACE}hats{SPACE}and{SPACE}the{SPACE}sun{SPACE}appears{SPACE}to{SPACE}be{SPACE}starting{SPACE}to{SPACE}set{.}{SPACE}the{SPACE}sea{SPACE}is{SPACE}coming{SPACE}in{SPACE}towards{SPACE}them{.}{SPACE}one{SPACE}horse{SPACE}is{SPACE}mostly{SPACE}brown{SPACE}with{SPACE}white{SPACE}patches{SPACE}and{SPACE}the{SPACE}other{SPACE}horse{SPACE}is{SPACE}mostly{SPACE}white{SPACE}with{SPACE}brown{SPACE}patches{.}{ENTER},73921,7
Encode-Decode_Experiment-9-1,2356991,baseball,"on{SPACE}a{SPACE}baseball{SPACE}field{,}{SPACE}one{SPACE}man{SPACE}wearing{SPACE}a{SPACE}glove{SPACE}is{SPACE}about{SPACE}to{SPACE}catch{SPACE}the{SPACE}baseball{.}{SPACE}another{SPACE}man{SPACE}is{SPACE}sliding{SPACE}headfirst{SPACE}towards{SPACE}a{SPACE}post{.}{SPACE}the{SPACE}glove{SPACE}is{SPACE}red{.}{SPACE}its{SPACE}daytime{SPACE}and{SPACE}the{SPACE}sky{SPACE}is{SPACE}blue{ENTER}",46331,8
Encode-Decode_Experiment-9-1,2370664,donuts,3{SPACE}people{SPACE}are{SPACE}in{SPACE}the{SPACE}street{SPACE}all{SPACE}with{SPACE}donuts{SPACE}in{SPACE}their{SPACE}mouths{.}{SPACE}{CAPSLOCK}T{CAPSLOCK}here{SPACE}are{SPACE}two{SPACE}men{SPACE}and{SPACE}one{SPACE}woman{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}in{SPACE}the{SPACE}middle{SPACE}and{SPACE}has{SPACE}dark{SPACE}short{SPACE}hair{SPACE}and{SPACE}is{SPACE}wearing{SPACE}a{SPACE}red{SPACE}top{.}{SPACE}the{SPACE}donuts{SPACE}have{SPACE}sugar{SPACE}on{SPACE}them{.}{SPACE}it{SPACE}is{SPACE}daytime{ENTER},56027,9
Encode-Decode_Experiment-9-1,2386442,teeth,a{SPACE}man{SPACE}and{SPACE}a{SPACE}woman{SPACE}and{SPACE}a{SPACE}child{SPACE}are{SPACE}all{SPACE}brushing{SPACE}their{SPACE}teeth{.}{SPACE}the{SPACE}child{SPACE}is{SPACE}in{SPACE}the{SPACE}middle{SPACE}and{SPACE}has{SPACE}a{SPACE}pink{SPACE}toothbrush{.}{SPACE}it{SPACE}is{SPACE}night{SPACE}time{.}{SPACE}{ENTER},46753,10
