SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-24-1,2408717,surfboard,Which description best matches the image?,"four surfers, the 2 closest to the camera with green boards and the ones further away with white boards, the person third from the right had a white t shirt and i think the others wore purple, they were on the beach walking towards the water carrying their boards and it was late afternoon/evening",77200,1
Encode-Decode_Experiment-24-1,2371471,bike-stuntmen,Which description best matches the image?,"2 bikers, the one behind was still on his bike and perchance wearing red, the other one was doing a handstand on his bike, they were both in the air above a dirt ramp that was on the right of the screen",27963,2
Encode-Decode_Experiment-24-1,2385851,suitcase,Which description best matches the image?,"2 men were carrying red suitcases on a covered walkway, they were walking away from the camera, the man on the right had a grey rope thing tied around his suitcase. they were both wearing loose fitting trousers",42582,3
Encode-Decode_Experiment-24-1,2349475,blender,Which description best matches the image?,two women were making an orange coloured smoothie in a blender. the one on the right may have been wearing teal and she had her mouth open and was pedaling and holding onto one handlebar of the bike that was attached to the blender. the other woman was holding the lid. they were in someones garden,49719,4
Encode-Decode_Experiment-24-1,2360001,clock,Which description best matches the image?,a black and white photo of around 4 men hoisting up a black clock in an old city with shops behind/next to them,24833,5
Encode-Decode_Experiment-24-1,2397102,cake,Which description best matches the image?,"a couple cutting a cake. the woman on the left had a magenta dress. the man had a beer in his left hand (from his perspective). the cake was white and had colourful writing on it in green, red, blue and yellow. there was another man in the background behind the guy with the beer and he had a can of what looked like redbull. the woman had light brown hair and the man had normal brown hair",75425,6
Encode-Decode_Experiment-24-1,2385550,tangerines,Which description best matches the image?,two kids had tangerine slices in hteir mouths. the boy on the left was a bit younger and had blond hair. the girl on the right had brown hair and a short fringe and i think green eyes.,38153,7
Encode-Decode_Experiment-24-1,2347400,wine,Which description best matches the image?,two men in a living room on a beige couch with dark pillows in the background. there was a tv on the left and it had toad from mario kart on the lower shelf. the men were both sniffing their wine.,69756,8
Encode-Decode_Experiment-24-1,2367132,video game,Which description best matches the image?,two men were playing the wii and they each had awii remote in one had and a nunchuck in the other. there was a little blonde girl in the background wearing pink watching htem,27375,9
Encode-Decode_Experiment-24-1,2370664,donuts,Which description best matches the image?,three people eating donuts. 2 men and a woman in the middle. the woman had very dark hair. the donuts were all just plain sugar flavoured.,57298,10
Encode-Decode_Experiment-24-1,2383555,boat,Which description best matches the image?,a bunch of people on a raft. noone was wearing shoes. the girl in the back of the raft had a paddle. the woman in the front was holding a young boy. there was antoehr person behind her but i couldnt see them,35392,11
Encode-Decode_Experiment-24-1,2374670,spray-vehicle,Which description best matches the image?,a big red truck was being sprayed with water. there was a man on the back left of the truck. there was a green hose in the back middle of the truck. the man had some kind of hose thing but it looking like it was made of metal because it was very straight and water appeared to be coming out of it. it was on the back left as well,48810,12
Encode-Decode_Experiment-24-1,2412687,dog,Which description best matches the image?,a man and a dog were out at night. the dog was brown and trying to catch a red frisbee. it was to the left of the man. the man was just standing upright and may have been wearing a light blue shirt but i dont remember,37322,13
Encode-Decode_Experiment-24-1,2410309,laptop,Which description best matches the image?,a mother and a baby were on a brown couch. the mum was on the left and she had her grey laptop in her lap. the baby was on her right and the baby's back was turned to the mum and it was touching the keyboard of a laptop in front of it.,49543,14
Encode-Decode_Experiment-24-1,2350974,drink,Which description best matches the image?,i dont remember this,20980,15
Encode-Decode_Experiment-24-1,2387122,polar bear,Which description best matches the image?,a polar bear was in a pool and it had swum up to the side of the pool. its paw was pressed against the glass and it appeared to have its mouth around the black edge of the pool. there was a woman with a camera to the left of the polar bear and she had short blonde hair and was kind of making a pouting face at the bear,53565,16
Encode-Decode_Experiment-24-1,2409918,elephant,Which description best matches the image?,there were two elephants submerged in water and men on their backs. the one on the left was deeper in the water. the one on the right was eating a plant.,23105,17
Encode-Decode_Experiment-24-1,2394020,horse ride,Which description best matches the image?,two men were riding horses. they wore cowboy hats. they were walking along a beach at sunset but the beach had grass on the sand or something so it didnt look like a beach to me at first glance. but there was a lot of water behind them. they are walking from right to left. the horse in front was more white than brown and the horse in the back was more brown than white. they both had cow patterns,60542,18
Encode-Decode_Experiment-24-1,2369373,chef,Which description best matches the image?,a chef was using a pizza paddle to cook a pizza in an oven that looked like a big open mouth. there was a lot of flames surrounding the pizza. the oven was grehy,24011,19
Encode-Decode_Experiment-24-1,2348899,tie,Which description best matches the image?,a woman was touching a pink and white stripey untied tie around a mans neck. she was on the furthest right and he was to the left of her. there were two men to the left of him and they were looking at the guy with the tie and he was looking at them and everyone was smiling or laughing,72395,20
Encode-Decode_Experiment-24-1,2386442,teeth,Which description best matches the image?,"there were three people brushing their teeth. a mum on the left, a little boy around 2 in the middle, and a ad on the right. the dad was wearing a purple shirt. they all had brown eyes and dark hair and were looking at the camera. i think the bab?UNKNOWN?ys toothbrush was green",36886,21
Encode-Decode_Experiment-24-1,2347025,umbrella,Which description best matches the image?,a mother had her baby on her back and the baby was carrying a big pink umbrella with a pattern on it that had a lot of yellow in it. the baby was reaching with its other hand and the mother had her mouth open and had crooked teeth. the baby also ahd its mouth open a bit,54298,22
Encode-Decode_Experiment-24-1,2356125,airport,Which description best matches the image?,"there were three pieces of luggage. i think one was blue and erd checkered and it was the one in the middle. there were 4 people in uniform, a lady on the furthest left, then a man to her right. there were two women on either side of the conveyor belt on getting luggage down to the main conveyor belt. the luggage they were touching had a lot of yellow in it. i think the last piece of luggage was blue",77056,23
