SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-13-1,2386442,teeth,Which description best matches the image?,woman man and child all burshing teeth man in purple shirt man on right woman left baby middle,32023,1
Encode-Decode_Experiment-13-1,2369373,chef,Which description best matches the image?,chef with white hat and apron on left placing pizza on pizza pan into oven shaped like someone with mouth open on right,33847,2
Encode-Decode_Experiment-13-1,2360001,clock,Which description best matches the image?,4 men on scaffolding raising clock up on left side of building,23887,3
Encode-Decode_Experiment-13-1,2347400,wine,Which description best matches the image?,two men on sofa sniffing red wine,10157,4
Encode-Decode_Experiment-13-1,2362704,bears,Which description best matches the image?,two bears eating pumpkins brow bears,12264,5
Encode-Decode_Experiment-13-1,2344622,cat,Which description best matches the image?,brown spripyish cat asleep on blue blanket on desk on left man typing on keybpard next to cat on right,31150,6
Encode-Decode_Experiment-13-1,150472,pizza-slice,Which description best matches the image?,two girls on street pretending to eat on big pizza slice on paper plate,20883,7
Encode-Decode_Experiment-13-1,2387122,polar bear,Which description best matches the image?,polar bear in water hands on glass man taking photo of ot,13537,8
Encode-Decode_Experiment-13-1,2394020,horse ride,Which description best matches the image?,two men middle aged in cow boy hats riding two horses along beach,14734,9
Encode-Decode_Experiment-13-1,2385851,suitcase,Which description best matches the image?,two men carrying red suitcases through underpass thing,21170,10
Encode-Decode_Experiment-13-1,2379478,baby-milk,Which description best matches the image?,two babie drink milk next to eachother out of bottle while lying on a bed,21189,11
Encode-Decode_Experiment-13-1,2397102,cake,Which description best matches the image?,woman in bright pink dress on left and man on right in suit holding beer bottle both cut cake together cake white woth colourful accents,38392,12
Encode-Decode_Experiment-13-1,2374670,spray-vehicle,Which description best matches the image?,one man driving red truck on road another on back with spray coming out of back at bottom,25600,13
Encode-Decode_Experiment-13-1,2350974,drink,Which description best matches the image?,dont remember,8635,14
Encode-Decode_Experiment-13-1,2408717,surfboard,Which description best matches the image?,four girls carry 4 surfboards two red towards the ocean,24004,15
Encode-Decode_Experiment-13-1,2347025,umbrella,Which description best matches the image?,mum carrying baby on back baby holding umbrella,13789,16
Encode-Decode_Experiment-13-1,2383555,boat,Which description best matches the image?,four people on boat one rowing one carrying baby,15271,17
Encode-Decode_Experiment-13-1,2370664,donuts,Which description best matches the image?,two people eating pink donuts,9069,18
Encode-Decode_Experiment-13-1,2371471,bike-stuntmen,Which description best matches the image?,two stuntmen two motor bikes one on left riding through air one on right doing handstand in air towards a dirt ramp,25356,19
Encode-Decode_Experiment-13-1,2367132,video game,Which description best matches the image?,girl on sofa two dad looking men playing wii with contoller in both hands,21863,20
Encode-Decode_Experiment-13-1,2412687,dog,Which description best matches the image?,dont remeber,3174,21
Encode-Decode_Experiment-13-1,2385550,tangerines,Which description best matches the image?,boy on left younger girl on right both have tangerines in mouth boy is wearing a hoodie woth different coloured inside of hood,35353,22
Encode-Decode_Experiment-13-1,2345035,football,Which description best matches the image?,two girls on left chasing after ball people in back ground on a feild,16715,23
Encode-Decode_Experiment-13-1,2356125,airport,Which description best matches the image?,four people two helping suitycase onto belt two standing on left two other suitcases in image,28225,24
Encode-Decode_Experiment-13-1,2409918,elephant,Which description best matches the image?,two men two elephants in water one fed plants on right,13211,25
Encode-Decode_Experiment-13-1,2411268,apple,Which description best matches the image?,dont remeber,2924,26
Encode-Decode_Experiment-13-1,2349475,blender,Which description best matches the image?,three people one blender in garden one hold lid one ride bike to power it,17671,27
Encode-Decode_Experiment-13-1,2348899,tie,Which description best matches the image?,three men one woman shes playing with mans pink and whote stripe tie,17678,28
Encode-Decode_Experiment-13-1,2410309,laptop,Which description best matches the image?,babay on right mum on left on sofa both on keyboards on two different laptops,19773,29
Encode-Decode_Experiment-13-1,2356991,baseball,Which description best matches the image?,man closest dove to floor man behind standing up ready to catch ball,17896,30
