SubjectID,StimID,CueText,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-18-1,2383555,boat,What is the woman at the back doing in the boat?,1,3029,4,4,1
Encode-Decode_Experiment-18-1,2369373,chef,What tool is the chef using?,1,2996,3,3,2
Encode-Decode_Experiment-18-1,2409918,elephant,What is the elephant on the right (from your perspective) doing with its trunk?,1,3427,2,2,3
Encode-Decode_Experiment-18-1,2345035,football,What are the people doing with the football?,0,3746,2,3,4
Encode-Decode_Experiment-18-1,2386442,teeth,Who is brushing their teeth in the scene?,1,2900,1,1,5
Encode-Decode_Experiment-18-1,2383555,boat,Who is holding the child in the boat?,1,1558,2,2,6
Encode-Decode_Experiment-18-1,2347025,umbrella,Where is the baby in relation to the mother?,0,3487,2,1,7
Encode-Decode_Experiment-18-1,2385851,suitcase,Where are the men?,0,2491,1,3,8
Encode-Decode_Experiment-18-1,2350974,drink,Between which two objects is the child standing?,1,3255,4,4,9
Encode-Decode_Experiment-18-1,2379478,baby-milk,How many babies are visible in the scene?,1,1260,2,2,10
Encode-Decode_Experiment-18-1,2349475,blender,What is the man doing to power the blender?,0,2858,2,1,11
Encode-Decode_Experiment-18-1,2344622,cat,What is the cat resting its head on?,1,2607,4,4,12
Encode-Decode_Experiment-18-1,2371471,bike-stuntmen,What stunt is one motorcyclist performing?,0,3685,1,2,13
Encode-Decode_Experiment-18-1,2371471,bike-stuntmen,What is nearest to the motorcyclists?,1,5017,3,3,14
Encode-Decode_Experiment-18-1,2362704,bears,What are the bears doing with the pumpkins?,1,2440,4,4,15
Encode-Decode_Experiment-18-1,2397102,cake,What are the couple doing with the cake?,1,1652,1,1,16
Encode-Decode_Experiment-18-1,2385550,tangerines,Which side of the frame is the boy on? (from your perspective),1,3345,3,3,17
Encode-Decode_Experiment-18-1,2408717,surfboard,How many surfers are in the scene?,1,1787,2,2,18
Encode-Decode_Experiment-18-1,150472,pizza-slice,Where is the pizza slice located?,1,1787,2,2,19
Encode-Decode_Experiment-18-1,2386442,teeth,What is the person on the right wearing?,1,2387,3,3,20
Encode-Decode_Experiment-18-1,2410309,laptop,What is the baby touching?,1,2139,2,2,21
Encode-Decode_Experiment-18-1,2387122,polar bear,Where is the polar bear located in the scene?,1,1854,3,3,22
Encode-Decode_Experiment-18-1,2362704,bears,How many bears are in the scene?,1,1107,2,2,23
Encode-Decode_Experiment-18-1,2348899,tie,Where is the woman located relative to the man? (from your perspective),1,2630,1,1,24
Encode-Decode_Experiment-18-1,2374670,spray-vehicle,What vehicle sprays water in the scene?,1,2373,1,1,25
Encode-Decode_Experiment-18-1,2347400,wine,What are the men doing with the wine?,1,1822,3,3,26
Encode-Decode_Experiment-18-1,2412687,dog,What is the dog biting onto in the scene?,1,3405,4,4,27
Encode-Decode_Experiment-18-1,2385851,suitcase,What are the men doing with the suitcases?,1,1643,2,2,28
Encode-Decode_Experiment-18-1,2356991,baseball,How is the player on the left (from your perspective) reaching the base?,1,3786,1,1,29
Encode-Decode_Experiment-18-1,2356125,airport,Where is the luggage being moved to?,0,3810,3,1,30
