SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-15-1,2394020,horse ride,Which description best matches the image?,two horses waliing along beach with 2 men riding them in cowboy hats,22776,1
Encode-Decode_Experiment-15-1,2348899,tie,Which description best matches the image?,women reaching to hold mans pink and white tie with two other men stood to the left of him,17186,2
Encode-Decode_Experiment-15-1,2412687,dog,Which description best matches the image?,dog trying to bite red frisbee out of mans hand with man standing up to the right oft he dog,16772,3
Encode-Decode_Experiment-15-1,2350974,drink,Which description best matches the image?,child drinking drink from a bottle between a blue motorcyle and a red car,13175,4
Encode-Decode_Experiment-15-1,2371471,bike-stuntmen,Which description best matches the image?,two men on motorbikes in the air with the one on the right flying off the seat and holding onto handle bars about to land on dirt ramp,30537,5
Encode-Decode_Experiment-15-1,2397102,cake,Which description best matches the image?,woman on left in pink dress and men stood to the right holding a beer bottle anf theyre both cutting a cake with multicoloured writing on top,26318,6
Encode-Decode_Experiment-15-1,2374670,spray-vehicle,Which description best matches the image?,red van spraying liquid out of the back onto the road with man stood at the back,13234,7
Encode-Decode_Experiment-15-1,2344622,cat,Which description best matches the image?,cat lying on blue blanket to the left of someone typing on a keyboard,15099,8
Encode-Decode_Experiment-15-1,2360001,clock,Which description best matches the image?,multiple men stood on scaffolding raising a large clock above their heads in a balck and white image,17465,9
Encode-Decode_Experiment-15-1,2370664,donuts,Which description best matches the image?,"three people, one man on the left and one on the right and a woman looking at the camera in the middle all eating ring donuts",25047,10
Encode-Decode_Experiment-15-1,2411268,apple,Which description best matches the image?,little girl with pink wellies reaching up in an orchard to pick a green apple off the tree above her head and she is holding a red bag,27680,11
Encode-Decode_Experiment-15-1,2356125,airport,Which description best matches the image?,4 people in the image with two women in uniform lifting luggage onto a conveyorbelt and two others stood against a wall in the back,27919,12
Encode-Decode_Experiment-15-1,2385550,tangerines,Which description best matches the image?,"two children with tangerines in their mouths, girl on the right has brown hair with a fringe and there is a boy on the left",25743,13
Encode-Decode_Experiment-15-1,2362704,bears,Which description best matches the image?,two bears in the middle of eating pumpkins,11259,14
Encode-Decode_Experiment-15-1,2387122,polar bear,Which description best matches the image?,polar bear up against the see through wall with mouth on railing and woman stood the other side with a camera,28290,15
Encode-Decode_Experiment-15-1,2383555,boat,Which description best matches the image?,4 people on a boat with a little boy sat in womans lap and woman at the back is rowing the boat,21503,16
Encode-Decode_Experiment-15-1,2386442,teeth,Which description best matches the image?,"three people, a man, woman and child all brushing their teeth with man on the right wearing a purple shir",21565,17
Encode-Decode_Experiment-15-1,2345035,football,Which description best matches the image?,two girls with numbers 20 amd 3 on their backs are chasing after a ball infront on them,18009,18
Encode-Decode_Experiment-15-1,2347400,wine,Which description best matches the image?,"two men sat on couch inside holding wine glasses and appearing to sniff them, red wine",17882,19
Encode-Decode_Experiment-15-1,150472,pizza-slice,Which description best matches the image?,"two women, one wearing glasses eating large pizza slice off paper plate",13936,20
Encode-Decode_Experiment-15-1,2367132,video game,Which description best matches the image?,two men standing up holding controllers in each hand,10052,21
Encode-Decode_Experiment-15-1,2410309,laptop,Which description best matches the image?,"woman on laptop, diet coke bottle inbetween her and a baby who is also on a laptop to the left of the woman",23484,22
Encode-Decode_Experiment-15-1,2369373,chef,Which description best matches the image?,pizza chef putting pizza in a large pizza oven using a pizza paddle and the oven looks like a monster with the mouth as its opening,25083,23
Encode-Decode_Experiment-15-1,2356991,baseball,Which description best matches the image?,"ball in the air, player diving and player on right of the screen is getting ready to catch the ball",16545,24
Encode-Decode_Experiment-15-1,2379478,baby-milk,Which description best matches the image?,n/a,9213,25
Encode-Decode_Experiment-15-1,2385851,suitcase,Which description best matches the image?,two men carrying red suitcases over thei heads walking through a shielded underpass,16493,26
Encode-Decode_Experiment-15-1,2347025,umbrella,Which description best matches the image?,baby holding pink umbrella with little people on it and she is strapped to her mothers back,18332,27
Encode-Decode_Experiment-15-1,2349475,blender,Which description best matches the image?,blender in middle making smoothie with someone riding a bike to blend the smoothie to the left and someone stood to the right and someone is in the back,26920,28
Encode-Decode_Experiment-15-1,2408717,surfboard,Which description best matches the image?,"4 women carrying surfboards along a beach, the two surfboards on the right are green",19580,29
Encode-Decode_Experiment-15-1,2409918,elephant,Which description best matches the image?,"two elephants in water with people on the backs, man on the right is shirtless and the elephant on the right is eating plants",21413,30
