SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-10-1,2344622,cat,Which description best matches the image?,"cat laying on a blue blanket next to a keyboard while a hand is typing, brownish cat",25060,1
Encode-Decode_Experiment-10-1,2385550,tangerines,Which description best matches the image?,"two children holding quaters of tangerines in their mouths while smiling boy on left, girl on right look like siblings boy blonde girl brunette with a fringe",34491,2
Encode-Decode_Experiment-10-1,2385851,suitcase,Which description best matches the image?,two men carrying suitcases as they go through a covered walkway,22313,3
Encode-Decode_Experiment-10-1,2411268,apple,Which description best matches the image?,"little girl standing under a tree picking apples, while carrying a brown basket, looks to be a large feild",24374,4
Encode-Decode_Experiment-10-1,2350974,drink,Which description best matches the image?,,6456,5
Encode-Decode_Experiment-10-1,2408717,surfboard,Which description best matches the image?,"4 girls carrying surfboards walking towards the ocean, 2 surfboardsa are green 2 of them are white with a slight pattern, one girl was untying her hair",37199,6
Encode-Decode_Experiment-10-1,2371471,bike-stuntmen,Which description best matches the image?,"2 people doing a jump on a cycling track, onbe is doing a handstand on the bike, the other following it was a dirt track",38992,7
Encode-Decode_Experiment-10-1,2360001,clock,Which description best matches the image?,,4090,8
Encode-Decode_Experiment-10-1,2379478,baby-milk,Which description best matches the image?,,4905,9
Encode-Decode_Experiment-10-1,2369373,chef,Which description best matches the image?,pizza chef placing a pizza into an open mouth oven that is a statue of somesort,24550,10
Encode-Decode_Experiment-10-1,2345035,football,Which description best matches the image?,2 girls chasing after a foootball one of them was wearing a white kit with the number 20,25450,11
Encode-Decode_Experiment-10-1,2409918,elephant,Which description best matches the image?,2 elephants in a river with 2 men sat on top of them the elephant on the right was eating from a plant,21642,12
Encode-Decode_Experiment-10-1,2349475,blender,Which description best matches the image?,"3 people standing around a blender, one man standing back, one lady holidng the lid and another man cycling in order for it to blend, there was some type of smoothie in the blender",37002,13
Encode-Decode_Experiment-10-1,2386442,teeth,Which description best matches the image?,"man, woman and child brushing their teeth",9236,14
Encode-Decode_Experiment-10-1,2356991,baseball,Which description best matches the image?,oen guy was sliding in to get to base before the man on base caught the ball,20700,15
Encode-Decode_Experiment-10-1,2348899,tie,Which description best matches the image?,"4 people, 3 guys chatting and a girl touching the tie that the man is wearing it is stripey and she is to the right of the men",33675,16
Encode-Decode_Experiment-10-1,2383555,boat,Which description best matches the image?,"3 people on a raft, their was a baby and then 2 women the women at the back was rowing",20114,17
Encode-Decode_Experiment-10-1,2356125,airport,Which description best matches the image?,"4 workers, 2 of them security guards and 2 of them helping to put the luggage onto the conveyer belt, there were 3 bags on the conveyer",31054,18
Encode-Decode_Experiment-10-1,2397102,cake,Which description best matches the image?,,4525,19
Encode-Decode_Experiment-10-1,2374670,spray-vehicle,Which description best matches the image?,"red truck spraying water, man on the back of the truck holding on",14698,20
Encode-Decode_Experiment-10-1,2394020,horse ride,Which description best matches the image?,,1792,21
Encode-Decode_Experiment-10-1,2387122,polar bear,Which description best matches the image?,polar bear in water enclosure pressed against the glass with its paw,15265,22
Encode-Decode_Experiment-10-1,2362704,bears,Which description best matches the image?,bears eating the pumpkins,6800,23
Encode-Decode_Experiment-10-1,2370664,donuts,Which description best matches the image?,3 people eating donuts on a street,10185,24
Encode-Decode_Experiment-10-1,2367132,video game,Which description best matches the image?,2 men playing a vidoe game holding the remotes in both hands while girl in back watches,18748,25
Encode-Decode_Experiment-10-1,2347400,wine,Which description best matches the image?,2 men sat on a sofa smelling red wine,13440,26
Encode-Decode_Experiment-10-1,2412687,dog,Which description best matches the image?,,6520,27
Encode-Decode_Experiment-10-1,2410309,laptop,Which description best matches the image?,"woman and baby sat on sofa, woman working on laptop and baby touching the keyboard there was a bottle of diet coke in the middle of them",27124,28
Encode-Decode_Experiment-10-1,2347025,umbrella,Which description best matches the image?,baby on womans back holding a redish pinky umbrella,14169,29
Encode-Decode_Experiment-10-1,150472,pizza-slice,Which description best matches the image?,2 girls holding pizza on a paper plate about to eat it girl on the right is wearing glasees,25259,30
