SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-3-1,2349475,blender,Which description best matches the image?,man pedalling and woman holding top outside for charity,12112,1
Encode-Decode_Experiment-3-1,2409918,elephant,Which description best matches the image?,2 men sit on top of elephants in water,7036,2
Encode-Decode_Experiment-3-1,2383555,boat,Which description best matches the image?,dont recall,3621,3
Encode-Decode_Experiment-3-1,2387122,polar bear,Which description best matches the image?,in an enclosure of water with blonde woman holding camera to glass,12734,4
Encode-Decode_Experiment-3-1,2410309,laptop,Which description best matches the image?,mum in red top facing forward on couch and baby on side with another laptop,16315,5
Encode-Decode_Experiment-3-1,2356991,baseball,Which description best matches the image?,man diving and another about to catch,8224,6
Encode-Decode_Experiment-3-1,2386442,teeth,Which description best matches the image?,mum baby dad brushing teeth together,6809,7
Encode-Decode_Experiment-3-1,2348899,tie,Which description best matches the image?,two men in background one sat with tie and woman touching tie,11233,8
Encode-Decode_Experiment-3-1,2362704,bears,Which description best matches the image?,two black bears on ground eating pumpkins,8633,9
Encode-Decode_Experiment-3-1,2370664,donuts,Which description best matches the image?,two men and a woman each eating donut on the street,9618,10
Encode-Decode_Experiment-3-1,2367132,video game,Which description best matches the image?,"two men play wii ga,me and daughter watches on couch",10604,11
Encode-Decode_Experiment-3-1,2394020,horse ride,Which description best matches the image?,two men with cowboy hats ride horses down beach at sunset,11518,12
Encode-Decode_Experiment-3-1,2412687,dog,Which description best matches the image?,dont recall,2802,13
Encode-Decode_Experiment-3-1,2408717,surfboard,Which description best matches the image?,four women walk towards ocean holding green surfboards,12244,14
Encode-Decode_Experiment-3-1,2356125,airport,Which description best matches the image?,3 women and a man stand next tpo conveyer and two women putting a suitcase onto another,19740,15
Encode-Decode_Experiment-3-1,2379478,baby-milk,Which description best matches the image?,toddler and smaller baby drink bottle of milk each lying on their backs in bed,15376,16
Encode-Decode_Experiment-3-1,2360001,clock,Which description best matches the image?,3 men stand on scaffolding putting clock up on a street,10930,17
Encode-Decode_Experiment-3-1,2371471,motorcycle,Which description best matches the image?,small child drinking stoof between red car and motorcycle,10766,18
Encode-Decode_Experiment-3-1,2350974,drink,Which description best matches the image?,small child having a drink in between two vehicles,9610,19
Encode-Decode_Experiment-3-1,2347025,umbrella,Which description best matches the image?,baby on mothers back holding pink umbrellla,7611,20
Encode-Decode_Experiment-3-1,2374670,spray-vehicle,Which description best matches the image?,red farem vehicle rriving down dirt track spraying water with man on the back and campervans behind,21500,21
Encode-Decode_Experiment-3-1,2344622,cat,Which description best matches the image?,persons hand on keyboard and cat to the left lying on blue blanket,12296,22
Encode-Decode_Experiment-3-1,2385851,suitcase,Which description best matches the image?,two men carry suitcases opn their backs along a covered walkway wearing loose clothing,16630,23
Encode-Decode_Experiment-3-1,2385550,tangerines,Which description best matches the image?,older sister and younger brother both pose for picture with orange pieces in their mouths,15127,24
Encode-Decode_Experiment-3-1,2397102,cake,Which description best matches the image?,woman in dress and man next to her holding beer cut a colourful cake,11868,25
Encode-Decode_Experiment-3-1,2347400,wine,Which description best matches the image?,two boys smell red wine sat in casual clothes on cpuch in living room,12323,26
Encode-Decode_Experiment-3-1,2411268,apple,Which description best matches the image?,little girl in pink wellies and holding red bag reaches up to pick green apple,26974,27
Encode-Decode_Experiment-3-1,150472,pizza,Which description best matches the image?,man in chef clothes slides p;izza into stone oven looks like a greek statue,14793,28
Encode-Decode_Experiment-3-1,2369373,chef,Which description best matches the image?,man slides pizza into oven,6788,29
Encode-Decode_Experiment-3-1,2345035,football,Which description best matches the image?,20 chases 3 with football across a field with parents in background,12565,30
