SubjectID,StimID,CueText,Question,Accuracy,RT_ms,Response,CorrectKey,TrialIndex
Encode-Decode_Experiment-19-1,2412687,dog,What is the dog biting onto in the scene?,1,3978,4,4,1
Encode-Decode_Experiment-19-1,2348899,tie,What is the woman doing?,1,4065,4,4,2
Encode-Decode_Experiment-19-1,2394020,horse ride,What are the riders wearing on their heads?,1,3830,2,2,3
Encode-Decode_Experiment-19-1,2385550,tangerines,Which side of the frame is the boy on? (from your perspective),1,6909,3,3,4
Encode-Decode_Experiment-19-1,2347025,umbrella,Who is holding the umbrella in the scene?,1,4456,2,2,5
Encode-Decode_Experiment-19-1,2387122,polar bear,Where is the polar bear located in the scene?,1,3671,3,3,6
Encode-Decode_Experiment-19-1,2371471,bike-stuntmen,What is nearest to the motorcyclists?,1,10172,3,3,7
Encode-Decode_Experiment-19-1,2350974,drink,Between which two objects is the child standing?,0,4029,1,4,8
Encode-Decode_Experiment-19-1,2367132,video game,In which hand(s) are the men holding the controllers?,0,5604,2,4,9
Encode-Decode_Experiment-19-1,2369373,chef,What tool is the chef using?,1,4491,3,3,10
Encode-Decode_Experiment-19-1,2411268,apple,Where is the fruit branch relative to the child?,0,10861,3,4,11
Encode-Decode_Experiment-19-1,2348899,tie,Where is the woman located relative to the man? (from your perspective),1,5010,1,1,12
Encode-Decode_Experiment-19-1,150472,pizza-slice,Where is the pizza slice located?,1,3713,2,2,13
Encode-Decode_Experiment-19-1,2356991,baseball,How is the player on the left (from your perspective) reaching the base?,1,8283,1,1,14
Encode-Decode_Experiment-19-1,2356991,baseball,What is the current action of the gloved player on the base?,0,7751,1,2,15
Encode-Decode_Experiment-19-1,2349475,blender,What is the man doing to power the blender?,0,5593,2,1,16
Encode-Decode_Experiment-19-1,2344622,cat,Where is the cat located?,0,4459,3,2,17
Encode-Decode_Experiment-19-1,2410309,laptop,What is the baby touching?,1,2549,2,2,18
Encode-Decode_Experiment-19-1,2345035,football,Who runs toward the football in the scene?,1,3918,2,2,19
Encode-Decode_Experiment-19-1,2350974,drink,What is the child up against?,1,1953,1,1,20
Encode-Decode_Experiment-19-1,2412687,dog,What is the human's body position?,1,4948,3,3,21
Encode-Decode_Experiment-19-1,2371471,bike-stuntmen,What stunt is one motorcyclist performing?,1,5166,2,2,22
Encode-Decode_Experiment-19-1,2386442,teeth,What is the person on the right wearing?,0,5327,1,3,23
Encode-Decode_Experiment-19-1,2397102,cake,What is the man holding besides the cake knife?,1,3386,3,3,24
Encode-Decode_Experiment-19-1,2397102,cake,What are the couple doing with the cake?,1,2194,1,1,25
Encode-Decode_Experiment-19-1,2385851,suitcase,What are the men doing with the suitcases?,1,2826,2,2,26
Encode-Decode_Experiment-19-1,2385851,suitcase,Where are the men?,0,3929,1,3,27
Encode-Decode_Experiment-19-1,2409918,elephant,What is the elephant on the right (from your perspective) doing with its trunk?,1,4332,2,2,28
Encode-Decode_Experiment-19-1,2385550,tangerines,Where are the tangerines in the scene?,1,3373,4,4,29
Encode-Decode_Experiment-19-1,2370664,donuts,Where are the people located in the scene?,1,2750,1,1,30
Encode-Decode_Experiment-19-1,2367132,video game,How many men are playing in the scene?,1,1824,2,2,31
Encode-Decode_Experiment-19-1,2362704,bears,What are the bears doing with the pumpkins?,1,3519,4,4,32
Encode-Decode_Experiment-19-1,2411268,apple,What is the child holding while picking fruit?,1,2874,2,2,33
Encode-Decode_Experiment-19-1,2360001,clock,What are the workers doing to the clock?,1,4342,4,4,34
Encode-Decode_Experiment-19-1,2356125,airport,Where is the luggage being moved to?,0,4903,3,1,35
Encode-Decode_Experiment-19-1,2394020,horse ride,Where is the scene taking place?,1,2018,1,1,36
Encode-Decode_Experiment-19-1,2409918,elephant,Where are the elephants in the scene?,1,3650,4,4,37
Encode-Decode_Experiment-19-1,2347400,wine,What are the men sitting on in the scene?,1,2192,1,1,38
Encode-Decode_Experiment-19-1,2383555,boat,What is the woman at the back doing in the boat?,1,3798,4,4,39
Encode-Decode_Experiment-19-1,2379478,baby-milk,What is the position of the babies?,0,2798,3,4,40
Encode-Decode_Experiment-19-1,2349475,blender,Which part of the blender is the woman holding?,1,6046,3,3,41
Encode-Decode_Experiment-19-1,150472,pizza-slice,How many women are in the scene?,1,3067,4,4,42
Encode-Decode_Experiment-19-1,2370664,donuts,How many donuts are in the scene?,1,2464,4,4,43
Encode-Decode_Experiment-19-1,2386442,teeth,Who is brushing their teeth in the scene?,1,4022,1,1,44
Encode-Decode_Experiment-19-1,2347400,wine,What are the men doing with the wine?,0,3053,4,3,45
Encode-Decode_Experiment-19-1,2360001,clock,Where are the men standing?,0,3643,1,4,46
Encode-Decode_Experiment-19-1,2383555,boat,Who is holding the child in the boat?,1,2529,2,2,47
Encode-Decode_Experiment-19-1,2347025,umbrella,Where is the baby in relation to the mother?,0,6855,3,1,48
Encode-Decode_Experiment-19-1,2410309,laptop,How many laptops or electronic devices are visible?,1,2385,4,4,49
Encode-Decode_Experiment-19-1,2345035,football,What are the people doing with the football?,0,11705,4,3,50
Encode-Decode_Experiment-19-1,2374670,spray-vehicle,Where is the man standing relative to the vehicle?,0,5165,1,3,51
Encode-Decode_Experiment-19-1,2387122,polar bear,What is the polar bear doing next to the enclosure edge?,1,4862,1,1,52
Encode-Decode_Experiment-19-1,2408717,surfboard,What are the surfers doing with the surfboards?,1,3691,3,3,53
Encode-Decode_Experiment-19-1,2408717,surfboard,How many surfers are in the scene?,0,3854,3,2,54
Encode-Decode_Experiment-19-1,2362704,bears,How many bears are in the scene?,1,2412,2,2,55
Encode-Decode_Experiment-19-1,2356125,airport,How many uniformed staff are moving the luggage?,0,2948,4,2,56
Encode-Decode_Experiment-19-1,2374670,spray-vehicle,What vehicle sprays water in the scene?,1,5245,1,1,57
Encode-Decode_Experiment-19-1,2369373,chef,What is the appearance of the oven?,1,5994,3,3,58
Encode-Decode_Experiment-19-1,2379478,baby-milk,How many babies are visible in the scene?,1,2162,2,2,59
Encode-Decode_Experiment-19-1,2344622,cat,What is the cat resting its head on?,1,3571,4,4,60
