source_file,SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-1-1_decoding.csv,Encode-Decode_Experiment-1-1,2360001,clock,Which description best matches the image?,four people fixing a clock standing on a scaffold.,24145.0,27
Encode-Decode_Experiment-10-1_decoding.csv,Encode-Decode_Experiment-10-1,2360001,clock,Which description best matches the image?,,4090.0,8
Encode-Decode_Experiment-11-1_decoding.csv,Encode-Decode_Experiment-11-1,2360001,clock,Which description best matches the image?,4 men standing on something raising a big clock,23472.0,5
Encode-Decode_Experiment-12-1_decoding.csv,Encode-Decode_Experiment-12-1,2360001,clock,Which description best matches the image?,a few men on scaffolding putting up a big old clock,20654.0,4
Encode-Decode_Experiment-13-1_decoding.csv,Encode-Decode_Experiment-13-1,2360001,clock,Which description best matches the image?,4 men on scaffolding raising clock up on left side of building,23887.0,3
Encode-Decode_Experiment-14-1_decoding.csv,Encode-Decode_Experiment-14-1,2360001,clock,Which description best matches the image?,"a group of people are stood on scaffolding, attempting to raise the clock",21349.0,16
Encode-Decode_Experiment-15-1_decoding.csv,Encode-Decode_Experiment-15-1,2360001,clock,Which description best matches the image?,multiple men stood on scaffolding raising a large clock above their heads in a balck and white image,17465.0,9
Encode-Decode_Experiment-16-1_decoding.csv,Encode-Decode_Experiment-16-1,2360001,clock,Which description best matches the image?,"four men standing on scaffoling holding up clock, black and white photo,",38968.0,11
Encode-Decode_Experiment-17-1_decoding.csv,Encode-Decode_Experiment-17-1,2360001,clock,Which description best matches the image?,4 men were standing on scaffolding while trying to raise a big clock up.,21106.0,8
Encode-Decode_Experiment-18-1_decoding.csv,Encode-Decode_Experiment-18-1,2360001,clock,Which description best matches the image?,"four workmen are lifting up a big clock, they are standing on scaffolding, it looks to be an urban, city area, they are men, and wearing building clothes",29332.0,30
Encode-Decode_Experiment-19-1_decoding.csv,Encode-Decode_Experiment-19-1,2360001,clock,Which description best matches the image?,"three guys stoof on scaffolding, liftimng up a clock",15481.0,10
Encode-Decode_Experiment-2-1_decoding.csv,Encode-Decode_Experiment-2-1,2360001,clock,Which description best matches the image?,bunch of people were raising a clock on by standing on the scaffolding and picture was balck and whote,33002.0,24
Encode-Decode_Experiment-3-1_decoding.csv,Encode-Decode_Experiment-3-1,2360001,clock,Which description best matches the image?,3 men stand on scaffolding putting clock up on a street,10930.0,17
Encode-Decode_Experiment-4-1_decoding.csv,Encode-Decode_Experiment-4-1,2360001,clock,Which description best matches the image?,,40965.0,7
Encode-Decode_Experiment-5-1_decoding.csv,Encode-Decode_Experiment-5-1,2360001,clock,Which description best matches the image?,"3 or 4 men attempting to raise a large clock on a street, stood on a wooden plank in a black and white image",42092.0,8
Encode-Decode_Experiment-6-1_decoding.csv,Encode-Decode_Experiment-6-1,2360001,clock,Which description best matches the image?,"it was a black and white picture of 4 men raising a clock with the word ZENITH on it, they were on a scaffold.",44066.0,10
Encode-Decode_Experiment-7-1_decoding.csv,Encode-Decode_Experiment-7-1,2360001,clock,Which description best matches the image?,a black and white photo with 4 men standing on scafolding holding up a big clock,22218.0,18
Encode-Decode_Experiment-8-1_decoding.csv,Encode-Decode_Experiment-8-1,2360001,clock,Which description best matches the image?,4 men in a black and white photo stood on scaffolding and holding up a big clock that says ZENITH,21461.0,25
Encode-Decode_Experiment-9-1_decoding.csv,Encode-Decode_Experiment-9-1,2360001,clock,Which description best matches the image?,3 men were standing on scaffolding. they were raising a big clock onto a building. the picture was in black and white.,40252.0,6
