source_file,SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-1-1_decoding.csv,Encode-Decode_Experiment-1-1,2348899,tie,Which description best matches the image?,"a man at the center of the photograph, there is two toher men on the left side of the man with the pink tie. a woman is on thr roght of the man at the center. the woman is touching the pink tie on the mans neck.",71566.0,26
Encode-Decode_Experiment-10-1_decoding.csv,Encode-Decode_Experiment-10-1,2348899,tie,Which description best matches the image?,"4 people, 3 guys chatting and a girl touching the tie that the man is wearing it is stripey and she is to the right of the men",33675.0,16
Encode-Decode_Experiment-11-1_decoding.csv,Encode-Decode_Experiment-11-1,2348899,tie,Which description best matches the image?,a man sitting with 2 of his male friends standing next to him. a woman touching his pink and white tie,29580.0,21
Encode-Decode_Experiment-12-1_decoding.csv,Encode-Decode_Experiment-12-1,2348899,tie,Which description best matches the image?,man with pink and white tie and woman touching it,17955.0,24
Encode-Decode_Experiment-13-1_decoding.csv,Encode-Decode_Experiment-13-1,2348899,tie,Which description best matches the image?,three men one woman shes playing with mans pink and whote stripe tie,17678.0,28
Encode-Decode_Experiment-14-1_decoding.csv,Encode-Decode_Experiment-14-1,2348899,tie,Which description best matches the image?,three men and one woman are in this picture. the three men are sat down and the woman is touching the third man's pink and white tie,45677.0,6
Encode-Decode_Experiment-15-1_decoding.csv,Encode-Decode_Experiment-15-1,2348899,tie,Which description best matches the image?,women reaching to hold mans pink and white tie with two other men stood to the left of him,17186.0,2
Encode-Decode_Experiment-16-1_decoding.csv,Encode-Decode_Experiment-16-1,2348899,tie,Which description best matches the image?,"three men one women in pub, manfar left was a blonde girl reaching right for mans tie. man had pink and white tie. two men to left of him looking and pointing at him",56407.0,8
Encode-Decode_Experiment-17-1_decoding.csv,Encode-Decode_Experiment-17-1,2348899,tie,Which description best matches the image?,A man talkign to his two friends while a woman plays with his white and pink tie,20813.0,20
Encode-Decode_Experiment-18-1_decoding.csv,Encode-Decode_Experiment-18-1,2348899,tie,Which description best matches the image?,"three people, two men, one woman, the woman is pointing at the man's tie which is pink and white striped. the men are sat down at what appears to be a restaurant or bar, the table is brown, one man is holding beer, they are all laughing, the woman has blonde hair",58762.0,1
Encode-Decode_Experiment-19-1_decoding.csv,Encode-Decode_Experiment-19-1,2348899,tie,Which description best matches the image?,"3 guys, 1 women, the women was playing/ pulling a guys tie and he was holding a glass in his hand",22839.0,27
Encode-Decode_Experiment-2-1_decoding.csv,Encode-Decode_Experiment-2-1,2348899,tie,Which description best matches the image?,there were four people three men were talking to each other one was sitting and a woman was touching the guys tie which was pink and white,53326.0,14
Encode-Decode_Experiment-3-1_decoding.csv,Encode-Decode_Experiment-3-1,2348899,tie,Which description best matches the image?,two men in background one sat with tie and woman touching tie,11233.0,8
Encode-Decode_Experiment-4-1_decoding.csv,Encode-Decode_Experiment-4-1,2348899,tie,Which description best matches the image?,"a man sitting down has a tie on and another tie thats pink and stripey around his neck. a women is standing over him to the right and is touchin ghte tie, two men are sitting to the left of him and one is wearing a black and white stripey shirt",59960.0,20
Encode-Decode_Experiment-5-1_decoding.csv,Encode-Decode_Experiment-5-1,2348899,tie,Which description best matches the image?,a man had a tie on already but he out on another one that wasn't tied yet. he is sat down on a chair and a woman is touching his tie- there are 2 more men in the photograph whom the man sat down is looking at,55689.0,20
Encode-Decode_Experiment-6-1_decoding.csv,Encode-Decode_Experiment-6-1,2348899,tie,Which description best matches the image?,"three men, one sitting down with a loose pink tie. there is a blonde girl to the right of him touching his tie. they;re all drinking and laughing",43181.0,2
Encode-Decode_Experiment-7-1_decoding.csv,Encode-Decode_Experiment-7-1,2348899,tie,Which description best matches the image?,a man sat in the middle wearing a pink and white stripped tie and a woman to the right of him holdinbg the tie and 2 other men standing to the left of the man wearing the tie,48403.0,9
Encode-Decode_Experiment-8-1_decoding.csv,Encode-Decode_Experiment-8-1,2348899,tie,Which description best matches the image?,"4 people in photo, 3 men on left, one woman on right. 3rd man from the left is wearing a striped pink and white tie, which is being touched by the woman next to him",34329.0,22
Encode-Decode_Experiment-9-1_decoding.csv,Encode-Decode_Experiment-9-1,2348899,tie,Which description best matches the image?,there were 4 people pictures. to the left were 2 men talking to a man with a tie on. the man had 1 tie already on and a pink ti that was losely around his neck on top of the other tie. the man with the tie on had blonde hair. the man to the immediate left of the man with the tiw had dark hair and the man to the left of him had blonde hair. there was a woman on the right with blonde curly hair. she was reaching over a table to touch the pink tie around the mans neck. the man with the tie on was not looking at her,88949.0,8
