SubjectID,StimID,node_id,concept,content_type,evidence_type,status,recalled,matched_phrase
Encode-Decode_Experiment-1-1,2360001,2360001_002,four,object_attribute,literal,correct,1,four people
Encode-Decode_Experiment-1-1,2360001,2360001_003,multiple,object_attribute,literal,correct,1,four people
Encode-Decode_Experiment-1-1,2360001,2360001_004,people,object_identity,literal,correct,1,people
Encode-Decode_Experiment-1-1,2360001,2360001_005,person,object_identity,literal,correct,1,people
Encode-Decode_Experiment-1-1,2360001,2360001_006,clock,object_identity,literal,correct,1,a clock
Encode-Decode_Experiment-1-1,2360001,2360001_007,scaffold,object_identity,literal,correct,1,a scaffold
Encode-Decode_Experiment-1-1,2360001,2360001_019,standing,action_relation,literal,correct,1,standing
Encode-Decode_Experiment-1-1,2360001,2360001_022,putting up,action_relation,latent,correct,1,fixing a clock
Encode-Decode_Experiment-1-1,2360001,2360001_025,on,spatial_relation,literal,correct,1,on a scaffold
Encode-Decode_Experiment-11-1,2360001,2360001_002,four,object_attribute,literal,correct,1,4 men
Encode-Decode_Experiment-11-1,2360001,2360001_003,multiple,object_attribute,literal,correct,1,4 men
Encode-Decode_Experiment-11-1,2360001,2360001_005,person,object_identity,literal,correct,1,men
Encode-Decode_Experiment-11-1,2360001,2360001_005a,man,object_attribute,latent,correct,1,men
Encode-Decode_Experiment-11-1,2360001,2360001_006,clock,object_identity,literal,correct,1,big clock
Encode-Decode_Experiment-11-1,2360001,2360001_015,big,object_attribute,literal,correct,1,big clock
Encode-Decode_Experiment-11-1,2360001,2360001_019,standing,action_relation,literal,correct,1,standing
Encode-Decode_Experiment-11-1,2360001,2360001_020,raising,action_relation,literal,correct,1,raising
Encode-Decode_Experiment-11-1,2360001,2360001_025,on,spatial_relation,literal,correct,1,on something
Encode-Decode_Experiment-12-1,2360001,2360001_003,multiple,object_attribute,literal,correct,1,a few men
Encode-Decode_Experiment-12-1,2360001,2360001_005,person,object_identity,literal,correct,1,men
Encode-Decode_Experiment-12-1,2360001,2360001_005a,man,object_attribute,latent,correct,1,men
