SubjectID,StimID,node_id,concept,content_type,evidence_type,status,recalled,matched_phrase
Encode-Decode_Experiment-10-1,2348899,2348899_001,four,object_attribute,literal,correct,1,4 people
Encode-Decode_Experiment-10-1,2348899,2348899_002,people,object_identity,literal,correct,1,people
Encode-Decode_Experiment-10-1,2348899,2348899_003,three,object_attribute,literal,correct,1,3 guys
Encode-Decode_Experiment-10-1,2348899,2348899_004,person,object_identity,literal,correct,1,guys
Encode-Decode_Experiment-10-1,2348899,2348899_005,one,object_attribute,literal,correct,1,a girl
Encode-Decode_Experiment-10-1,2348899,2348899_006,person,object_identity,literal,correct,1,girl
Encode-Decode_Experiment-10-1,2348899,2348899_009,right,spatial_relation,literal,correct,1,to the right of the men
Encode-Decode_Experiment-10-1,2348899,2348899_010,touching,action_relation,literal,correct,1,touching the tie
Encode-Decode_Experiment-10-1,2348899,2348899_011,tie,object_identity,literal,correct,1,tie
Encode-Decode_Experiment-10-1,2348899,2348899_015,striped,object_attribute,literal,correct,1,stripey
Encode-Decode_Experiment-10-1,2348899,2348899_016,chatting,action_relation,latent,correct,1,chatting
Encode-Decode_Experiment-10-1,2348899,2348899_038,man,object_attribute,literal,correct,1,man
Encode-Decode_Experiment-10-1,2348899,2348899_039,woman,object_attribute,literal,correct,1,girl
Encode-Decode_Experiment-1-1,2348899,2348899_001,four,object_attribute,literal,correct,1,"a man at the center of the photograph, there is two toher men on the left side of the man with the pink tie. a woman is on thr roght"
Encode-Decode_Experiment-1-1,2348899,2348899_003,three,object_attribute,literal,correct,1,"a man at the center of the photograph, there is two toher men on the left side"
Encode-Decode_Experiment-1-1,2348899,2348899_004,person,object_identity,literal,correct,1,men
Encode-Decode_Experiment-1-1,2348899,2348899_005,one,object_attribute,literal,correct,1,a woman
Encode-Decode_Experiment-1-1,2348899,2348899_006,person,object_identity,literal,correct,1,a woman
Encode-Decode_Experiment-1-1,2348899,2348899_007,center,spatial_relation,literal,correct,1,at the center of the photograph
Encode-Decode_Experiment-1-1,2348899,2348899_008,left,spatial_relation,literal,correct,1,on the left side
Encode-Decode_Experiment-1-1,2348899,2348899_009,right,spatial_relation,literal,correct,1,on thr roght
Encode-Decode_Experiment-1-1,2348899,2348899_010,touching,action_relation,literal,correct,1,touching the pink tie
Encode-Decode_Experiment-1-1,2348899,2348899_011,tie,object_identity,literal,correct,1,pink tie
Encode-Decode_Experiment-1-1,2348899,2348899_012,neck,object_identity,literal,correct,1,on the mans neck
Encode-Decode_Experiment-1-1,2348899,2348899_013,pink,object_attribute,literal,correct,1,pink tie
Encode-Decode_Experiment-1-1,2348899,2348899_038,man,object_attribute,literal,correct,1,man
Encode-Decode_Experiment-1-1,2348899,2348899_039,woman,object_attribute,literal,correct,1,woman
Encode-Decode_Experiment-11-1,2348899,2348899_001,four,object_attribute,literal,correct,1,a man sitting with 2 of his male friends standing next to him. a woman
Encode-Decode_Experiment-11-1,2348899,2348899_002,people,object_identity,literal,correct,1,a man sitting with 2 of his male friends standing next to him. a woman
Encode-Decode_Experiment-11-1,2348899,2348899_003,three,object_attribute,literal,correct,1,a man sitting with 2 of his male friends
Encode-Decode_Experiment-11-1,2348899,2348899_004,person,object_identity,literal,correct,1,man
Encode-Decode_Experiment-11-1,2348899,2348899_005,one,object_attribute,literal,correct,1,a woman
Encode-Decode_Experiment-11-1,2348899,2348899_006,person,object_identity,literal,correct,1,woman
Encode-Decode_Experiment-11-1,2348899,2348899_010,touching,action_relation,literal,correct,1,touching his pink and white tie
Encode-Decode_Experiment-11-1,2348899,2348899_011,tie,object_identity,literal,correct,1,tie
Encode-Decode_Experiment-11-1,2348899,2348899_013,pink,object_attribute,literal,correct,1,pink
Encode-Decode_Experiment-11-1,2348899,2348899_014,white,object_attribute,literal,correct,1,white
Encode-Decode_Experiment-11-1,2348899,2348899_017,sitting,action_relation,literal,correct,1,sitting
Encode-Decode_Experiment-11-1,2348899,2348899_018,standing,action_relation,literal,correct,1,standing next to him
Encode-Decode_Experiment-11-1,2348899,2348899_038,man,object_attribute,literal,correct,1,man
Encode-Decode_Experiment-11-1,2348899,2348899_039,woman,object_attribute,literal,correct,1,woman
Encode-Decode_Experiment-13-1,2348899,2348899_001,four,object_attribute,literal,correct,1,three men one woman
Encode-Decode_Experiment-13-1,2348899,2348899_002,people,object_identity,literal,correct,1,three men one woman
Encode-Decode_Experiment-13-1,2348899,2348899_003,three,object_attribute,literal,correct,1,three men
Encode-Decode_Experiment-13-1,2348899,2348899_004,person,object_identity,literal,correct,1,men
Encode-Decode_Experiment-13-1,2348899,2348899_005,one,object_attribute,literal,correct,1,one woman
Encode-Decode_Experiment-13-1,2348899,2348899_006,person,object_identity,literal,correct,1,woman
Encode-Decode_Experiment-13-1,2348899,2348899_010,touching,action_relation,literal,correct,1,playing with mans pink and whote stripe tie
Encode-Decode_Experiment-13-1,2348899,2348899_011,tie,object_identity,literal,correct,1,tie
Encode-Decode_Experiment-13-1,2348899,2348899_013,pink,object_attribute,literal,correct,1,pink
Encode-Decode_Experiment-13-1,2348899,2348899_014,white,object_attribute,literal,correct,1,whote
Encode-Decode_Experiment-13-1,2348899,2348899_015,striped,object_attribute,literal,correct,1,stripe tie
Encode-Decode_Experiment-13-1,2348899,2348899_019,playing,action_relation,latent,correct,1,playing with
Encode-Decode_Experiment-13-1,2348899,2348899_038,man,object_attribute,literal,correct,1,men
Encode-Decode_Experiment-13-1,2348899,2348899_039,woman,object_attribute,literal,correct,1,woman
Encode-Decode_Experiment-12-1,2348899,2348899_002,people,object_identity,literal,correct,1,man with pink and white tie and woman
Encode-Decode_Experiment-12-1,2348899,2348899_004,person,object_identity,literal,correct,1,man
Encode-Decode_Experiment-12-1,2348899,2348899_005,one,object_attribute,literal,correct,1,woman
Encode-Decode_Experiment-12-1,2348899,2348899_006,person,object_identity,literal,correct,1,woman
Encode-Decode_Experiment-12-1,2348899,2348899_010,touching,action_relation,literal,correct,1,touching it
Encode-Decode_Experiment-12-1,2348899,2348899_011,tie,object_identity,literal,correct,1,tie
Encode-Decode_Experiment-12-1,2348899,2348899_013,pink,object_attribute,literal,correct,1,pink
Encode-Decode_Experiment-12-1,2348899,2348899_014,white,object_attribute,literal,correct,1,white
Encode-Decode_Experiment-12-1,2348899,2348899_038,man,object_attribute,literal,correct,1,man
Encode-Decode_Experiment-12-1,2348899,2348899_039,woman,object_attribute,literal,correct,1,woman
Encode-Decode_Experiment-14-1,2348899,2348899_001,four,object_attribute,literal,correct,1,three men and one woman
Encode-Decode_Experiment-14-1,2348899,2348899_002,people,object_identity,literal,correct,1,in this picture
Encode-Decode_Experiment-14-1,2348899,2348899_003,three,object_attribute,literal,correct,1,three men
Encode-Decode_Experiment-14-1,2348899,2348899_004,person,object_identity,literal,correct,1,men
Encode-Decode_Experiment-14-1,2348899,2348899_005,one,object_attribute,literal,correct,1,one woman
Encode-Decode_Experiment-14-1,2348899,2348899_006,person,object_identity,literal,correct,1,woman
Encode-Decode_Experiment-14-1,2348899,2348899_010,touching,action_relation,literal,correct,1,touching
Encode-Decode_Experiment-14-1,2348899,2348899_011,tie,object_identity,literal,correct,1,tie
Encode-Decode_Experiment-14-1,2348899,2348899_013,pink,object_attribute,literal,correct,1,pink and white tie
Encode-Decode_Experiment-14-1,2348899,2348899_014,white,object_attribute,literal,correct,1,pink and white tie
Encode-Decode_Experiment-14-1,2348899,2348899_017,sitting,action_relation,literal,correct,1,are sat down
Encode-Decode_Experiment-14-1,2348899,2348899_038,man,object_attribute,literal,correct,1,man
Encode-Decode_Experiment-14-1,2348899,2348899_039,woman,object_attribute,literal,correct,1,woman
Encode-Decode_Experiment-5-1,2348899,2348899_001,four,object_attribute,literal,correct,1,there are 2 more men in the photograph
Encode-Decode_Experiment-5-1,2348899,2348899_002,people,object_identity,literal,correct,1,a man
Encode-Decode_Experiment-5-1,2348899,2348899_003,three,object_attribute,literal,correct,1,2 more men
Encode-Decode_Experiment-5-1,2348899,2348899_004,person,object_identity,literal,correct,1,man
Encode-Decode_Experiment-5-1,2348899,2348899_005,one,object_attribute,literal,correct,1,a woman
Encode-Decode_Experiment-5-1,2348899,2348899_006,person,object_identity,literal,correct,1,woman
Encode-Decode_Experiment-5-1,2348899,2348899_010,touching,action_relation,literal,correct,1,a woman is touching his tie
Encode-Decode_Experiment-5-1,2348899,2348899_011,tie,object_identity,literal,correct,1,tie
Encode-Decode_Experiment-5-1,2348899,2348899_017,sitting,action_relation,literal,correct,1,he is sat down on a chair
Encode-Decode_Experiment-5-1,2348899,2348899_023,looking,action_relation,literal,correct,1,the man sat down is looking at
Encode-Decode_Experiment-5-1,2348899,2348899_029,another,object_attribute,literal,correct,1,another one
Encode-Decode_Experiment-5-1,2348899,2348899_030,loose,object_attribute,literal,correct,1,wasn't tied yet
Encode-Decode_Experiment-5-1,2348899,2348899_033,already,object_attribute,speculative,correct,1,a tie on already
Encode-Decode_Experiment-5-1,2348899,2348899_038,man,object_attribute,literal,correct,1,man
Encode-Decode_Experiment-5-1,2348899,2348899_039,woman,object_attribute,literal,correct,1,woman
Encode-Decode_Experiment-6-1,2348899,2348899_001,four,object_attribute,literal,correct,1,"three men, one sitting down"
Encode-Decode_Experiment-6-1,2348899,2348899_002,people,object_identity,literal,correct,1,three men
Encode-Decode_Experiment-6-1,2348899,2348899_003,three,object_attribute,literal,correct,1,three men
Encode-Decode_Experiment-6-1,2348899,2348899_004,person,object_identity,literal,correct,1,men
Encode-Decode_Experiment-6-1,2348899,2348899_005,one,object_attribute,literal,correct,1,a blonde girl
Encode-Decode_Experiment-6-1,2348899,2348899_006,person,object_identity,literal,correct,1,girl
Encode-Decode_Experiment-6-1,2348899,2348899_009,right,spatial_relation,literal,correct,1,to the right of him
Encode-Decode_Experiment-6-1,2348899,2348899_010,touching,action_relation,literal,correct,1,touching his tie
Encode-Decode_Experiment-6-1,2348899,2348899_011,tie,object_identity,literal,correct,1,tie
Encode-Decode_Experiment-6-1,2348899,2348899_013,pink,object_attribute,literal,correct,1,pink tie
Encode-Decode_Experiment-6-1,2348899,2348899_017,sitting,action_relation,literal,correct,1,one sitting down
Encode-Decode_Experiment-6-1,2348899,2348899_022a,blonde,object_attribute,literal,correct,1,blonde girl
Encode-Decode_Experiment-6-1,2348899,2348899_030,loose,object_attribute,literal,correct,1,loose pink tie
Encode-Decode_Experiment-6-1,2348899,2348899_032,laughing,action_relation,speculative,correct,1,laughing
