source_file,SubjectID,StimID,CueText,CueQuestion,FreeResponse,RT_ms,TrialIndex
Encode-Decode_Experiment-1-1_decoding.csv,Encode-Decode_Experiment-1-1,2412687,dog,Which description best matches the image?,a man playing with a dog' the dog is trying to grab the red frisbee' at night,35594.0,3
Encode-Decode_Experiment-10-1_decoding.csv,Encode-Decode_Experiment-10-1,2412687,dog,Which description best matches the image?,,6520.0,27
Encode-Decode_Experiment-11-1_decoding.csv,Encode-Decode_Experiment-11-1,2412687,dog,Which description best matches the image?,a man holding out a red frisbee which the dog is trying to take with its mouth,18813.0,18
Encode-Decode_Experiment-12-1_decoding.csv,Encode-Decode_Experiment-12-1,2412687,dog,Which description best matches the image?,cute dog,14046.0,18
Encode-Decode_Experiment-13-1_decoding.csv,Encode-Decode_Experiment-13-1,2412687,dog,Which description best matches the image?,dont remeber,3174.0,21
Encode-Decode_Experiment-14-1_decoding.csv,Encode-Decode_Experiment-14-1,2412687,dog,Which description best matches the image?,,9321.0,17
Encode-Decode_Experiment-15-1_decoding.csv,Encode-Decode_Experiment-15-1,2412687,dog,Which description best matches the image?,dog trying to bite red frisbee out of mans hand with man standing up to the right oft he dog,16772.0,3
Encode-Decode_Experiment-16-1_decoding.csv,Encode-Decode_Experiment-16-1,2412687,dog,Which description best matches the image?,"dog left of photo biting on red frizbee held by man on right who had blakc and white adidas shoes on and shorts, dark lighting",50434.0,24
Encode-Decode_Experiment-2-1_decoding.csv,Encode-Decode_Experiment-2-1,2412687,dog,Which description best matches the image?,a man and a dog were outside at a backyard at night and they were playin the man was holdina red frisbee and the dog was a golden retriver,99840.0,7
Encode-Decode_Experiment-3-1_decoding.csv,Encode-Decode_Experiment-3-1,2412687,dog,Which description best matches the image?,dont recall,2802.0,13
Encode-Decode_Experiment-4-1_decoding.csv,Encode-Decode_Experiment-4-1,2412687,dog,Which description best matches the image?,"man in a grey outfit playing with a golden retriver dog in a garden, appeared to be nighttime. man i holding a red frisbee and standing to the right on the dog",41493.0,5
Encode-Decode_Experiment-5-1_decoding.csv,Encode-Decode_Experiment-5-1,2412687,dog,Which description best matches the image?,"a dog was about to take a red frisbee from the hand of its owner, it was in a back garden of some sort and looked like a blonde labrador",93447.0,11
Encode-Decode_Experiment-6-1_decoding.csv,Encode-Decode_Experiment-6-1,2412687,dog,Which description best matches the image?,i dont remember a dog.,56652.0,6
Encode-Decode_Experiment-7-1_decoding.csv,Encode-Decode_Experiment-7-1,2412687,dog,Which description best matches the image?,a dog biting a red frizbe ad a man holding the grizbe on the right,29290.0,5
Encode-Decode_Experiment-8-1_decoding.csv,Encode-Decode_Experiment-8-1,2412687,dog,Which description best matches the image?,"dog in centre, playing with a man in sliders and grey clothes holding a red frisbee, its dark and outside",21862.0,19
Encode-Decode_Experiment-9-1_decoding.csv,Encode-Decode_Experiment-9-1,2412687,dog,Which description best matches the image?,a man was playing with the beige coloured dog with a red frisbee. the dog was biting the frisbee. the dog was on all fours. the man had black adidas shoes on. they looked to be in a garden. it looked late at night and there was a fence in the background,63611.0,3
