SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,ImgX,ImgY,ObjectID,ObjectName,AssignmentMethod,ProximityDist_px,SalienceAtFixation
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,4,362,358,977.0,559.3,521.07,397.72,2.0,red frisbee being held by a person,polygon,,0.089766
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,388,638,250,916.2,622.0,488.64,442.31,10.0,tan dog playing and looking at frisbee,polygon,,0.141053
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,666,1850,1184,1054.5,550.0,562.4,391.11,2.0,red frisbee being held by a person,polygon,,0.036855
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,1880,2154,274,932.7,608.1,497.44,432.43,,,none,,0.137082
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,2180,3174,994,1034.4,551.8,551.68,392.39,2.0,red frisbee being held by a person,polygon,,0.046458
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,3368,4036,668,969.6,547.7,517.12,389.48,2.0,red frisbee being held by a person,polygon,,0.104324
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,4058,4254,196,919.3,582.0,490.29,413.87,2.0,red frisbee being held by a person,polygon,,0.129171
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,4282,4570,288,1041.1,517.0,555.25,367.64,2.0,red frisbee being held by a person,polygon,,0.138832
Encode-Decode_Experiment-7-1,2412687,dog,encoding,1,1,4596,4838,242,930.9,582.3,496.48,414.08,2.0,red frisbee being held by a person,polygon,,0.123771
Encode-Decode_Experiment-7-1,2370664,donuts,encoding,2,2,5082,5406,324,1064.7,552.6,567.84,392.96,33.0,smiling woman in a red shirt with a donut,polygon,,0.280334
Encode-Decode_Experiment-7-1,2370664,donuts,encoding,2,2,5436,5664,228,1109.7,430.0,591.84,305.78,33.0,smiling woman in a red shirt with a donut,polygon,,0.099558
