SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,Salience,ImgX,ImgY,ObjectID,ObjectName,AssignmentMethod,ProximityDist_px,SalienceAtFixation,MeaningAtFixation
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,4,386,382,762.7,665.9,0.2296,406.77,473.53,29.0,"destroyed pumpkin with bites taken out, on the ground",polygon,,0.225755,0.84997
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,406,692,286,698.3,718.6,0.2387,372.43,511.0,25.0,pumpkin in smashed pieces on the ground.,polygon,,0.23308,0.777642
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,728,872,144,954.1,664.7,0.5293,508.85,472.68,2.0,pumpkin in broken halves.,polygon,,0.534129,0.927881
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,910,1084,174,692.7,590.6,0.2341,369.44,419.98,3.0,"large black bear on the left, eating a pumpkin",polygon,,0.230403,0.696012
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,1118,1346,228,729.1,766.9,0.3667,388.85,545.35,25.0,pumpkin in smashed pieces on the ground.,polygon,,0.369287,0.800994
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,1368,1872,504,706.4,845.1,0.0474,376.75,600.96,3.0,"large black bear on the left, eating a pumpkin",polygon,,0.046722,0.702687
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,1920,2474,554,1052.8,766.8,0.1697,561.49,545.28,6.0,pumpkin in stemmed halves.,polygon,,0.170573,0.974642
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,2520,2670,150,675.8,723.4,0.2443,360.43,514.42,29.0,"destroyed pumpkin with bites taken out, on the ground",polygon,,0.243557,0.7436
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,2698,2840,142,678.3,848.6,0.0477,361.76,603.45,3.0,"large black bear on the left, eating a pumpkin",polygon,,0.047076,0.665579
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,2900,3288,388,601.2,507.9,0.0254,320.64,361.17,0.0,"two bear heads, one with a black nose and another with a tan snout, near a pumpkin",polygon,,0.025322,0.493632
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,3338,3506,168,1025.8,621.7,0.3462,547.09,442.1,15.0,nose in black bear's mouth.,polygon,,0.341383,0.815251
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,3534,3718,184,1081.8,710.4,0.1461,576.96,505.17,,,none,,0.143819,0.91164
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,3736,4030,294,1085.0,758.1,0.1629,578.67,539.09,,,none,,0.160826,0.952525
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,4046,4252,206,1027.7,789.4,0.2296,548.11,561.35,6.0,pumpkin in stemmed halves.,polygon,,0.225534,0.986493
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,4298,4588,290,674.5,841.1,0.0511,359.73,598.12,3.0,"large black bear on the left, eating a pumpkin",polygon,,0.049682,0.667216
Encode-Decode_Experiment-9-1,2362704,bears,encoding,1,1,4614,4920,306,755.5,919.1,0.036,402.93,653.58,3.0,"large black bear on the left, eating a pumpkin",polygon,,0.035794,0.686608
Encode-Decode_Experiment-9-1,2370664,donuts,encoding,2,2,5082,5346,264,804.1,699.3,0.4496,428.85,497.28,32.0,hand of the man on the left holding a donut,polygon,,0.445794,0.773275
Encode-Decode_Experiment-9-1,2370664,donuts,encoding,2,2,5374,5590,216,876.3,617.8,0.0581,467.36,439.32,33.0,smiling woman in a red shirt with a donut,polygon,,0.056924,0.869657
Encode-Decode_Experiment-9-1,2370664,donuts,encoding,2,2,5640,5948,308,484.6,770.0,0.0087,258.45,547.56,20.0,man in a blue shirt eating a donut,polygon,,0.00963,0.510703
Encode-Decode_Experiment-9-1,2370664,donuts,encoding,2,2,5964,6184,220,477.2,801.9,0.0033,254.51,570.24,20.0,man in a blue shirt eating a donut,polygon,,0.004368,0.449819
