SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-16-1,2412687,encoding,3.53271,0.666667,0.292619,0.105881,21,14,False,0.210374,0.365635,25,3,29,28,0.9655,0.220226,1.0,7704.0,3.0,3.0,What is the human's body position?,1.0,5853.0,4.0,4.0,What is the dog biting onto in the scene?,1.0,2.0,,,,
Encode-Decode_Experiment-16-1,2410309,encoding,0.272189,0.208333,0.18325,0.092154,24,5,False,0.311754,0.239212,12,21,36,33,0.9167,0.272183,1.0,3780.0,4.0,4.0,How many laptops or electronic devices are visible?,1.0,4614.0,2.0,2.0,What is the baby touching?,2.0,2.0,,,,
Encode-Decode_Experiment-16-1,2397102,encoding,3.126477,0.407407,0.154037,0.08104,27,11,False,0.146453,0.106747,16,18,34,34,1.0,0.125432,1.0,3428.0,1.0,1.0,What are the couple doing with the cake?,1.0,3456.0,3.0,3.0,What is the man holding besides the cake knife?,3.0,2.0,,,,
Encode-Decode_Experiment-16-1,2344622,encoding,1.83324,0.421053,0.224947,0.106972,19,8,False,0.128648,0.113702,21,8,38,29,0.7632,0.108927,1.0,3963.0,4.0,4.0,What is the cat resting its head on?,1.0,5492.0,2.0,2.0,Where is the cat located?,4.0,2.0,,,,
Encode-Decode_Experiment-16-1,2409918,encoding,2.10284,0.578947,0.323684,0.12139,19,11,False,0.116346,0.156417,16,12,39,28,0.7179,0.124069,1.0,5532.0,4.0,4.0,Where are the elephants in the scene?,1.0,5500.0,2.0,2.0,What is the elephant on the right (from your perspective) doing with its trunk?,5.0,2.0,,,,
Encode-Decode_Experiment-16-1,2383555,encoding,-1.286726,0.0,0.088905,0.069094,21,0,False,,0.165751,0,33,42,33,0.7857,0.156025,1.0,4711.0,2.0,2.0,Who is holding the child in the boat?,1.0,3240.0,4.0,4.0,What is the woman at the back doing in the boat?,6.0,2.0,,,,
Encode-Decode_Experiment-16-1,2348899,encoding,1.436115,0.333333,0.200792,0.092292,24,8,False,0.111788,0.09859,13,17,32,30,0.9375,0.10286,1.0,4266.0,4.0,4.0,What is the woman doing?,1.0,7533.0,1.0,1.0,Where is the woman located relative to the man? (from your perspective),7.0,2.0,,,,
Encode-Decode_Experiment-16-1,2385550,encoding,2.017657,0.357143,0.188429,0.083619,28,10,False,0.189384,0.210876,16,18,37,34,0.9189,0.186905,1.0,8152.0,3.0,3.0,Which side of the frame is the boy on? (from your perspective),1.0,3565.0,4.0,4.0,Where are the tangerines in the scene?,8.0,2.0,,,,
Encode-Decode_Experiment-16-1,2367132,encoding,1.909851,0.277778,0.110556,0.087558,18,5,False,0.056757,0.073548,8,15,32,23,0.7188,0.066719,1.0,4050.0,4.0,4.0,In which hand(s) are the men holding the controllers?,1.0,3864.0,2.0,2.0,How many men are playing in the scene?,9.0,2.0,,,,
Encode-Decode_Experiment-16-1,2374670,encoding,2.404801,0.52,0.27136,0.103393,25,13,False,0.204931,0.200435,25,7,39,32,0.8205,0.197328,0.0,13447.0,4.0,3.0,Where is the man standing relative to the vehicle?,1.0,6606.0,1.0,1.0,What vehicle sprays water in the scene?,10.0,1.0,,,,
