SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-19-1,2412687,encoding,0.594583,0.4375,0.359625,0.130974,16,7,False,0.201757,0.345805,20,9,34,29,0.8529,0.229238,1.0,3978.0,4.0,4.0,What is the dog biting onto in the scene?,1.0,4948.0,3.0,3.0,What is the human's body position?,1.0,2.0,,,,
Encode-Decode_Experiment-19-1,2348899,encoding,3.554172,0.684211,0.286,0.11204,19,13,False,0.183771,0.200451,25,4,30,29,0.9667,0.189463,1.0,4065.0,4.0,4.0,What is the woman doing?,1.0,5010.0,1.0,1.0,Where is the woman located relative to the man? (from your perspective),2.0,2.0,,,,
Encode-Decode_Experiment-19-1,2394020,encoding,-0.560789,0.368421,0.440632,0.128766,19,7,False,0.324805,0.335704,14,11,35,25,0.7143,0.321891,1.0,3830.0,2.0,2.0,What are the riders wearing on their heads?,1.0,2018.0,1.0,1.0,Where is the scene taking place?,3.0,2.0,,,,
Encode-Decode_Experiment-19-1,2385550,encoding,1.054371,0.291667,0.203542,0.083581,24,7,False,0.197462,0.334936,17,14,34,31,0.9118,0.250142,1.0,6909.0,3.0,3.0,Which side of the frame is the boy on? (from your perspective),1.0,3373.0,4.0,4.0,Where are the tangerines in the scene?,4.0,2.0,,,,
Encode-Decode_Experiment-19-1,2347025,encoding,1.88866,0.785714,0.500786,0.150863,14,11,False,0.135571,0.084453,28,3,34,31,0.9118,0.131361,1.0,4456.0,2.0,2.0,Who is holding the umbrella in the scene?,0.0,6855.0,3.0,1.0,Where is the baby in relation to the mother?,5.0,1.0,,,,
Encode-Decode_Experiment-19-1,2387122,encoding,1.054649,0.352941,0.242353,0.104858,17,6,False,0.133788,0.097465,13,17,32,30,0.9375,0.117979,1.0,3671.0,3.0,3.0,Where is the polar bear located in the scene?,1.0,4862.0,1.0,1.0,What is the polar bear doing next to the enclosure edge?,6.0,2.0,,,,
Encode-Decode_Experiment-19-1,2371471,encoding,0.892957,0.333333,0.252889,0.090088,27,9,False,0.311865,0.531038,18,14,32,32,1.0,0.407753,1.0,10172.0,3.0,3.0,What is nearest to the motorcyclists?,1.0,5166.0,2.0,2.0,What stunt is one motorcyclist performing?,7.0,2.0,,,,
Encode-Decode_Experiment-19-1,2350974,encoding,3.285364,0.882353,0.431824,0.137132,17,15,False,0.246499,,31,0,36,31,0.8611,0.244443,0.0,4029.0,1.0,4.0,Between which two objects is the child standing?,1.0,1953.0,1.0,1.0,What is the child up against?,8.0,1.0,,,,
Encode-Decode_Experiment-19-1,2367132,encoding,2.298821,0.4375,0.174875,0.114243,16,7,False,0.116609,0.133878,24,8,32,32,1.0,0.120927,0.0,5604.0,2.0,4.0,In which hand(s) are the men holding the controllers?,1.0,1824.0,2.0,2.0,How many men are playing in the scene?,9.0,1.0,,,,
Encode-Decode_Experiment-19-1,2369373,encoding,1.177042,0.631579,0.467632,0.139288,19,12,False,0.184715,0.428843,33,4,37,37,1.0,0.211108,1.0,4491.0,3.0,3.0,What tool is the chef using?,1.0,5994.0,3.0,3.0,What is the appearance of the oven?,10.0,2.0,,,,
