SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-12-1,2348899,encoding,1.566717,0.75,0.496167,0.162016,12,9,False,0.211917,,26,0,26,26,1.0,0.211917,1.0,4705.0,4.0,4.0,What is the woman doing?,1.0,6461.0,1.0,1.0,Where is the woman located relative to the man? (from your perspective),1.0,2.0,,,,
Encode-Decode_Experiment-12-1,2350974,encoding,1.903296,0.631579,0.401789,0.120732,19,12,False,0.342232,0.175951,22,5,30,27,0.9,0.297481,1.0,6260.0,4.0,4.0,Between which two objects is the child standing?,1.0,4350.0,1.0,1.0,What is the child up against?,2.0,2.0,,,,
Encode-Decode_Experiment-12-1,2362704,encoding,0.488559,0.166667,0.130375,0.074283,24,4,False,0.241483,0.322712,9,20,30,29,0.9667,0.298547,1.0,4769.0,4.0,4.0,What are the bears doing with the pumpkins?,1.0,1435.0,2.0,2.0,How many bears are in the scene?,3.0,2.0,,,,
Encode-Decode_Experiment-12-1,2412687,encoding,1.598289,0.6,0.370667,0.143487,15,9,False,0.115768,0.140906,17,7,31,24,0.7742,0.118383,1.0,4546.0,4.0,4.0,What is the dog biting onto in the scene?,1.0,3800.0,3.0,3.0,What is the human's body position?,4.0,2.0,,,,
Encode-Decode_Experiment-12-1,2379478,encoding,2.782982,0.722222,0.341778,0.136704,18,13,False,0.388866,0.249042,29,4,33,33,1.0,0.371917,1.0,2555.0,2.0,2.0,How many babies are visible in the scene?,1.0,4318.0,4.0,4.0,What is the position of the babies?,5.0,2.0,,,,
Encode-Decode_Experiment-12-1,2374670,encoding,0.249412,0.318182,0.289955,0.113175,22,7,False,0.15559,0.127896,18,14,33,32,0.9697,0.139603,0.0,5477.0,4.0,1.0,What vehicle sprays water in the scene?,1.0,3700.0,3.0,3.0,Where is the man standing relative to the vehicle?,6.0,1.0,,,,
Encode-Decode_Experiment-12-1,2347400,encoding,1.382448,0.263158,0.141895,0.087716,19,5,False,0.173668,0.287058,14,13,30,27,0.9,0.223652,1.0,7922.0,3.0,3.0,What are the men doing with the wine?,1.0,2618.0,1.0,1.0,What are the men sitting on in the scene?,7.0,2.0,,,,
Encode-Decode_Experiment-12-1,2408717,encoding,0.357366,0.217391,0.185,0.090639,23,5,False,0.307717,0.204369,11,19,32,30,0.9375,0.248498,1.0,5172.0,2.0,2.0,How many surfers are in the scene?,1.0,4703.0,3.0,3.0,What are the surfers doing with the surfboards?,8.0,2.0,,,,
Encode-Decode_Experiment-12-1,2386442,encoding,3.152635,0.777778,0.356444,0.133645,18,14,False,0.132073,0.059577,33,2,35,35,1.0,0.127931,1.0,3588.0,1.0,1.0,Who is brushing their teeth in the scene?,1.0,3734.0,3.0,3.0,What is the person on the right wearing?,9.0,2.0,,,,
Encode-Decode_Experiment-12-1,2410309,encoding,0.27344,0.3,0.26725,0.11977,20,6,False,0.422645,0.22628,14,14,29,28,0.9655,0.320055,1.0,3377.0,4.0,4.0,How many laptops or electronic devices are visible?,1.0,4521.0,2.0,2.0,What is the baby touching?,12.0,2.0,,,,
Encode-Decode_Experiment-12-1,2371471,encoding,3.127066,0.64,0.30496,0.107142,25,16,False,0.410398,0.467525,25,6,31,31,1.0,0.421455,1.0,14130.0,2.0,2.0,What stunt is one motorcyclist performing?,0.0,7842.0,1.0,3.0,What is nearest to the motorcyclists?,13.0,1.0,,,,
Encode-Decode_Experiment-12-1,2356991,encoding,-0.476864,0.166667,0.2155,0.102405,24,4,False,0.14828,0.172787,7,23,30,30,1.0,0.167069,1.0,6140.0,1.0,1.0,How is the player on the left (from your perspective) reaching the base?,0.0,10852.0,1.0,2.0,What is the current action of the gloved player on the base?,14.0,1.0,,,,
Encode-Decode_Experiment-12-1,2349475,encoding,0.903512,0.285714,0.19619,0.099084,21,6,False,0.06314,0.06219,12,15,30,27,0.9,0.073385,1.0,4695.0,1.0,1.0,What is the man doing to power the blender?,1.0,4553.0,3.0,3.0,Which part of the blender is the woman holding?,15.0,2.0,,,,
Encode-Decode_Experiment-12-1,2370664,encoding,1.792974,0.36,0.20424,0.086872,25,9,False,0.158935,0.098141,17,15,32,32,1.0,0.130438,1.0,3163.0,1.0,1.0,Where are the people located in the scene?,1.0,2855.0,4.0,4.0,How many donuts are in the scene?,16.0,2.0,,,,
Encode-Decode_Experiment-12-1,2394020,encoding,3.928929,0.782609,0.335478,0.113805,23,18,False,0.297217,0.201905,26,2,31,28,0.9032,0.305749,1.0,2564.0,2.0,2.0,What are the riders wearing on their heads?,1.0,6988.0,1.0,1.0,Where is the scene taking place?,17.0,2.0,,,,
Encode-Decode_Experiment-12-1,2345035,encoding,-0.513364,0.315789,0.383895,0.132665,19,6,False,0.180412,0.292083,14,13,34,27,0.7941,0.226322,1.0,3588.0,2.0,2.0,Who runs toward the football in the scene?,0.0,8018.0,2.0,3.0,What are the people doing with the football?,18.0,1.0,,,,
Encode-Decode_Experiment-12-1,2369373,encoding,2.49022,0.647059,0.327706,0.128243,17,11,False,0.229375,0.075314,21,2,24,23,0.9583,0.21144,1.0,2801.0,3.0,3.0,What tool is the chef using?,1.0,4471.0,3.0,3.0,What is the appearance of the oven?,20.0,2.0,,,,
Encode-Decode_Experiment-12-1,2360001,encoding,1.04886,0.333333,0.215133,0.112694,15,5,False,0.338907,0.117954,9,14,23,23,1.0,0.204414,1.0,4385.0,4.0,4.0,What are the workers doing to the clock?,1.0,5966.0,4.0,4.0,Where are the men standing?,21.0,2.0,,,,
Encode-Decode_Experiment-12-1,2344622,encoding,1.079607,0.277778,0.175444,0.094788,18,5,False,0.195878,0.182635,17,15,32,32,1.0,0.18967,1.0,3553.0,4.0,4.0,What is the cat resting its head on?,1.0,2338.0,2.0,2.0,Where is the cat located?,22.0,2.0,,,,
Encode-Decode_Experiment-12-1,2385550,encoding,0.806193,0.230769,0.163308,0.083679,26,6,False,0.187256,0.225803,11,21,32,32,1.0,0.212552,1.0,4594.0,3.0,3.0,Which side of the frame is the boy on? (from your perspective),1.0,2877.0,4.0,4.0,Where are the tangerines in the scene?,23.0,2.0,,,,
Encode-Decode_Experiment-12-1,2409918,encoding,2.437274,0.8125,0.475812,0.138141,16,13,False,0.105191,,29,0,31,29,0.9355,0.116702,0.0,7279.0,3.0,2.0,What is the elephant on the right (from your perspective) doing with its trunk?,1.0,3754.0,4.0,4.0,Where are the elephants in the scene?,25.0,1.0,,,,
Encode-Decode_Experiment-12-1,2347025,encoding,0.835642,0.722222,0.614611,0.128777,18,13,False,0.083014,0.033475,26,1,28,27,0.9643,0.080254,1.0,3188.0,1.0,1.0,Where is the baby in relation to the mother?,1.0,4422.0,2.0,2.0,Who is holding the umbrella in the scene?,26.0,2.0,,,,
Encode-Decode_Experiment-12-1,2383555,encoding,0.882377,0.375,0.277958,0.109978,24,9,False,0.206303,0.170577,16,15,32,31,0.9688,0.185409,0.0,2500.0,3.0,2.0,Who is holding the child in the boat?,1.0,5224.0,4.0,4.0,What is the woman at the back doing in the boat?,27.0,1.0,,,,
Encode-Decode_Experiment-12-1,2356125,encoding,0.858316,0.277778,0.192889,0.098902,18,5,False,0.270544,0.210304,12,18,33,30,0.9091,0.236254,1.0,3678.0,2.0,2.0,How many uniformed staff are moving the luggage?,1.0,2689.0,1.0,1.0,Where is the luggage being moved to?,31.0,2.0,,,,
Encode-Decode_Experiment-12-1,2387122,encoding,0.35523,0.470588,0.420118,0.142078,17,8,False,0.131836,0.071836,19,6,26,25,0.9615,0.122484,1.0,3195.0,3.0,3.0,Where is the polar bear located in the scene?,1.0,6460.0,1.0,1.0,What is the polar bear doing next to the enclosure edge?,32.0,2.0,,,,
Encode-Decode_Experiment-12-1,2411268,encoding,3.118175,0.777778,0.384611,0.126089,18,14,False,0.151452,0.139584,24,2,28,26,0.9286,0.14773,1.0,7147.0,2.0,2.0,What is the child holding while picking fruit?,1.0,5309.0,4.0,4.0,Where is the fruit branch relative to the child?,35.0,2.0,,,,
Encode-Decode_Experiment-12-1,2367132,encoding,3.556522,0.545455,0.178591,0.103152,22,12,False,0.088573,0.076846,26,7,34,33,0.9706,0.085984,1.0,4645.0,4.0,4.0,In which hand(s) are the men holding the controllers?,1.0,1938.0,2.0,2.0,How many men are playing in the scene?,42.0,2.0,,,,
Encode-Decode_Experiment-12-1,2397102,encoding,1.238677,0.428571,0.28519,0.115753,21,9,False,0.085259,0.18614,19,10,31,29,0.9355,0.118279,1.0,2848.0,3.0,3.0,What is the man holding besides the cake knife?,1.0,2213.0,1.0,1.0,What are the couple doing with the cake?,46.0,2.0,,,,
Encode-Decode_Experiment-12-1,2385851,encoding,-1.348958,0.0,0.113294,0.083986,17,0,False,,0.143996,0,21,22,21,0.9545,0.147182,1.0,2616.0,2.0,2.0,What are the men doing with the suitcases?,0.0,5927.0,4.0,3.0,Where are the men?,48.0,1.0,,,,
Encode-Decode_Experiment-12-1,150472,encoding,0.958904,0.458333,0.354917,0.107849,24,11,False,0.09993,0.108113,18,9,29,27,0.931,0.11259,1.0,1991.0,4.0,4.0,How many women are in the scene?,1.0,4824.0,2.0,2.0,Where is the pizza slice located?,49.0,2.0,,,,
Encode-Decode_Experiment-12-1,2387122,decoding,,,,,0,0,True,,0.169491,0,5,7,5,0.7143,0.176278,,,,,,,,,,,,,bear in pool paw showing person with camera looking at it,27112.0,1.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2374670,decoding,-1.168423,0.428571,0.671286,0.207728,7,3,False,0.345222,0.337372,11,5,16,16,1.0,0.342769,,,,,,,,,,,,,big red truck with water spraying out the back with man standing on the back,27918.0,2.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2394020,decoding,,1.0,1.0,0.0,2,2,False,0.236678,,12,0,12,12,1.0,0.236678,,,,,,,,,,,,,two men wearing cowboy hats riding horses beside water,14163.0,3.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2360001,decoding,-0.032259,0.166667,0.172333,0.175661,6,1,False,0.23879,0.142498,2,9,11,11,1.0,0.160005,,,,,,,,,,,,,a few men on scaffolding putting up a big old clock,20654.0,4.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2385851,decoding,0.153319,0.428571,0.399429,0.19008,7,3,False,0.189914,0.142564,5,6,11,11,1.0,0.164087,,,,,,,,,,,,,"two people carrying a suitcase each one with a bigger suitcase and one with a red one, walking up a path back facing me",46788.0,5.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2383555,decoding,0.818435,0.5,0.329333,0.208528,6,3,False,0.178771,0.196567,6,5,11,11,1.0,0.18686,,,,,,,,,,,,,3 asian people on a raft one rowing and one holding a child,18198.0,6.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2371471,decoding,,1.0,1.0,0.0,4,4,False,0.108898,,16,0,16,16,1.0,0.108898,,,,,,,,,,,,,"two men on bikes up in the air, one is doing a handstand on the bike, a ramp is beneath them",23999.0,7.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2385550,decoding,,0.0,0.0,0.0,1,0,True,,0.451643,0,7,7,7,1.0,0.451643,,,,,,,,,,,,,"two children, a girl and a boy with tangerines in their mouths pretending to smile",23429.0,8.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2410309,decoding,0.306833,0.75,0.669,0.263987,4,3,False,0.160341,0.108841,8,3,11,11,1.0,0.146295,,,,,,,,,,,,,"a woman and baby on a sofa both looking at laptops, woman is typing",19762.0,9.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2386442,decoding,,1.0,1.0,0.0,1,1,True,0.118355,,6,0,6,6,1.0,0.118355,,,,,,,,,,,,,two children with tangerines in mouth,22748.0,10.0,Which description best matches the image?
Encode-Decode_Experiment-12-1,2356125,decoding,,1.0,1.0,0.0,2,2,False,0.06753,,9,0,9,9,1.0,0.06753,,,,,,,,,,,,,two men with suitcases in an airport,26601.0,11.0,Which description best matches the image?
