SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,ImgX,ImgY,ObjectID,ObjectName,AssignmentMethod,ProximityDist_px,SalienceAtFixation
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,4,62,58,1001.3,534.5,534.03,380.09,,,none,,0.780763
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,80,276,196,946.5,542.8,504.8,385.99,,,none,,0.732161
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,302,470,168,1083.5,482.4,577.87,343.04,7.0,bottle of milk being held and drunk by baby,polygon,,0.571475
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,510,846,336,1025.0,321.8,546.67,228.84,14.0,"baby lying on bed, wearing white shirt and pants, drinking from bottle",polygon,,0.242604
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,878,1086,208,1123.0,446.5,598.93,317.51,13.0,pillow with striped pillowcase,polygon,,0.549991
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,1112,1412,300,1004.2,470.7,535.57,334.72,7.0,bottle of milk being held and drunk by baby,polygon,,0.432627
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,1454,1640,186,805.0,386.1,429.33,274.56,6.0,arm of a baby holding a bottle,polygon,,0.241424
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,1672,1984,312,997.0,288.1,531.73,204.87,14.0,"baby lying on bed, wearing white shirt and pants, drinking from bottle",polygon,,0.429653
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,2026,2176,150,1103.6,498.9,588.59,354.77,7.0,bottle of milk being held and drunk by baby,polygon,,0.663018
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,2200,2428,228,1203.3,468.5,641.76,333.16,1.0,"baby lying on bed, wearing cartoon-themed shirt and diaper, holding a bottle",polygon,,0.588859
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,2464,2752,288,976.8,630.0,520.96,448.0,15.0,character on front of baby's shirt,polygon,,0.453377
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,2796,3114,318,984.3,433.8,524.96,308.48,7.0,bottle of milk being held and drunk by baby,polygon,,0.359168
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,3124,3474,350,1003.8,451.4,535.36,321.0,7.0,bottle of milk being held and drunk by baby,polygon,,0.366455
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,3482,4094,612,1007.2,466.8,537.17,331.95,7.0,bottle of milk being held and drunk by baby,polygon,,0.417744
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,4130,4328,198,1259.1,495.7,671.52,352.5,1.0,"baby lying on bed, wearing cartoon-themed shirt and diaper, holding a bottle",polygon,,0.260561
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,4340,4542,202,1237.6,481.7,660.05,342.54,1.0,"baby lying on bed, wearing cartoon-themed shirt and diaper, holding a bottle",polygon,,0.385568
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,4594,4818,224,781.7,808.7,416.91,575.08,10.0,"long-sleeved, cartoon-themed shirt worn by baby",polygon,,0.26207
Encode-Decode_Experiment-8-1,2379478,baby-milk,encoding,1,1,4844,5076,232,675.4,843.8,360.21,600.04,19.0,diaper worn by baby,polygon,,0.319294
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,5084,5434,350,977.0,527.0,521.07,374.76,2.0,red frisbee being held by a person,polygon,,0.13934
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,5460,5872,412,912.6,645.4,486.72,458.95,10.0,tan dog playing and looking at frisbee,polygon,,0.134481
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,5902,6052,150,869.4,772.5,463.68,549.33,10.0,tan dog playing and looking at frisbee,polygon,,0.199753
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,6104,6248,144,1022.2,504.2,545.17,358.54,2.0,red frisbee being held by a person,polygon,,0.224166
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,6306,6480,174,1566.4,142.6,835.41,101.4,15.0,light gray shirt worn by a person,polygon,,0.03195
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,6510,6692,182,1735.3,74.5,925.49,52.98,15.0,light gray shirt worn by a person,polygon,,0.348803
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,6702,6892,190,1763.2,60.5,940.37,43.02,15.0,light gray shirt worn by a person,polygon,,0.395779
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,6952,7098,146,1544.7,608.3,823.84,432.57,12.0,gray shorts worn by a person,polygon,,0.055538
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,7148,7274,126,1362.0,898.3,726.4,638.79,,,none,,0.124212
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,7316,7602,286,981.5,942.9,523.47,670.51,10.0,tan dog playing and looking at frisbee,polygon,,0.07922
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,7646,7900,254,874.9,707.6,466.61,503.18,10.0,tan dog playing and looking at frisbee,polygon,,0.187791
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,7920,8338,418,880.0,633.3,469.33,450.35,10.0,tan dog playing and looking at frisbee,polygon,,0.154213
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,8488,8512,24,850.1,582.2,453.39,414.01,,,none,,0.062723
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,8564,8868,304,872.2,194.1,465.17,138.03,0.0,fence in the background,polygon,,0.006848
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,8908,9110,202,1036.9,458.7,553.01,326.19,,,none,,0.373256
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,9132,9298,166,1024.6,513.6,546.45,365.23,2.0,red frisbee being held by a person,polygon,,0.168953
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,9464,9628,164,909.5,644.5,485.07,458.31,10.0,tan dog playing and looking at frisbee,polygon,,0.135846
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,9636,9910,274,901.2,638.4,480.64,453.97,10.0,tan dog playing and looking at frisbee,polygon,,0.140606
Encode-Decode_Experiment-8-1,2412687,dog,encoding,2,2,9962,10154,192,1463.3,821.3,780.43,584.04,7.0,person wearing a light gray shirt and gray shorts,polygon,,0.08178
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,10162,10450,288,1039.2,532.0,554.24,378.31,16.0,black rail in front of polar bear,polygon,,0.040427
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,10474,10528,54,927.5,516.4,494.67,367.22,16.0,black rail in front of polar bear,polygon,,0.120353
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,10562,10746,184,751.0,632.6,400.53,449.85,,,none,,0.327148
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,10792,11010,218,871.8,914.7,464.96,650.45,14.0,camera in black color,polygon,,0.083809
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,11054,11276,222,1163.7,860.7,620.64,612.05,6.0,"large polar bear paw, pressed against glass",polygon,,0.076499
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,11334,11664,330,1066.1,406.2,568.59,288.85,1.0,"nose of polar bear, above water",polygon,,0.266694
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,11688,12034,346,1075.2,490.4,573.44,348.73,10.0,head of polar bear above water,polygon,,0.046263
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,12078,12356,278,658.0,640.6,350.93,455.54,15.0,hair in feathered blonde color on a person's head.,polygon,,0.117009
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,12372,12652,280,702.9,640.5,374.88,455.47,3.0,"person with blonde hair, photographer, taking pictures",polygon,,0.235543
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,12696,12962,266,875.0,929.0,466.67,660.62,14.0,camera in black color,polygon,,0.138862
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,13126,13224,98,847.4,927.8,451.95,659.77,14.0,camera in black color,polygon,,0.121022
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,13248,13352,104,734.0,933.8,391.47,664.04,14.0,camera in black color,polygon,,0.127279
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,13418,13782,364,1102.2,211.1,587.84,150.12,4.0,"rocks above the water, forming backdrop",polygon,,0.040057
Encode-Decode_Experiment-8-1,2387122,polar bear,encoding,3,3,13808,13942,134,963.0,154.1,513.6,109.58,12.0,rock in large size.,polygon,,0.034518
