SubjectID,StimID,CueText,Phase,TrialIndex,TrialID,FixStart_ms,FixEnd_ms,Duration_ms,GazeX,GazeY,Salience,ImgX,ImgY,ObjectID,ObjectName,AssignmentMethod,ProximityDist_px,SalienceAtFixation,MeaningAtFixation
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,4,382,378,951.2,590.0,0.4891,507.31,419.56,8.0,two bears eating a pumpkin,polygon,,0.473877,0.820958
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,400,636,236,915.1,625.1,0.71,488.05,444.52,8.0,two bears eating a pumpkin,polygon,,0.701257,0.883964
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,658,926,268,885.7,537.4,0.1598,472.37,382.15,8.0,two bears eating a pumpkin,polygon,,0.160166,0.795824
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,938,1124,186,855.0,514.5,0.1012,456.0,365.87,8.0,two bears eating a pumpkin,polygon,,0.096062,0.784012
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,1146,1478,332,797.9,428.8,0.0193,425.55,304.92,10.0,"eye in small, round, shiny black eye.",polygon,,0.018924,0.737309
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,1526,1812,286,936.3,762.9,0.3659,499.36,542.51,6.0,pumpkin in stemmed halves.,polygon,,0.35602,0.997285
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,1826,2028,202,896.0,783.0,0.5957,477.87,556.8,11.0,pumpkin in eaten by bear,polygon,,0.610221,0.972439
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,2074,2342,268,1241.8,710.1,0.4243,662.29,504.96,22.0,pumpkin peel on the ground.,polygon,,0.425144,0.799492
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,2384,2586,202,902.7,535.4,0.1605,481.44,380.73,8.0,two bears eating a pumpkin,polygon,,0.158564,0.791171
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,2610,3382,772,804.6,424.3,0.02,429.12,301.72,10.0,"eye in small, round, shiny black eye.",polygon,,0.019893,0.741167
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,3392,3638,246,832.0,430.5,0.0322,443.73,306.13,4.0,bear in looking at the pumpkin,polygon,,0.032656,0.759322
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,3652,4048,396,782.2,403.4,0.0087,417.17,286.86,30.0,eyes in open on bear,polygon,,0.008736,0.715026
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,4170,4202,32,814.0,480.1,0.0644,434.13,341.4,4.0,bear in looking at the pumpkin,polygon,,0.06525,0.758757
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,4328,4490,162,826.2,439.9,0.0334,440.64,312.82,4.0,bear in looking at the pumpkin,polygon,,0.03335,0.758747
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,4510,5012,502,777.2,376.0,0.011,414.51,267.38,0.0,"two bear heads, one with a black nose and another with a tan snout, near a pumpkin",polygon,,0.010849,0.697103
Encode-Decode_Experiment-6-1,2362704,bears,encoding,1,1,5032,5076,44,802.5,419.4,0.0166,428.0,298.24,10.0,"eye in small, round, shiny black eye.",polygon,,0.016571,0.738069
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,5084,5368,284,908.8,580.4,0.1066,484.69,412.73,15.0,building wall.,polygon,,0.099698,0.577045
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,5412,5658,246,1189.4,457.3,0.6928,634.35,325.19,5.0,bikers performing stunts in the air,polygon,,0.669748,0.976511
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,5682,6028,346,1195.6,357.0,0.7713,637.65,253.87,10.0,dirt bike in mid air with a rider performing a trick,polygon,,0.745493,0.816869
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,6076,6278,202,682.1,280.7,0.4437,363.79,199.61,15.0,building wall.,polygon,,0.43254,0.909931
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,6302,6858,556,663.2,184.0,0.1163,353.71,130.84,15.0,building wall.,polygon,,0.110192,0.702217
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,6910,7422,512,1151.6,357.4,0.9985,614.19,254.15,14.0,person doing stunts on dirt bikes,polygon,,0.978346,0.807028
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,7448,7666,218,1202.1,468.2,0.7119,641.12,332.94,5.0,bikers performing stunts in the air,polygon,,0.685256,0.988804
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,7718,8000,282,691.4,339.9,0.5512,368.75,241.71,2.0,"bike in red and black, airborne with rider performing a stunt",polygon,,0.530635,0.943644
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,8016,8248,232,649.3,348.8,0.4754,346.29,248.04,2.0,"bike in red and black, airborne with rider performing a stunt",polygon,,0.459643,0.930858
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,8294,8474,180,1015.6,507.1,0.0725,541.65,360.6,15.0,building wall.,polygon,,0.067063,0.739654
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,8506,8816,310,1179.3,447.1,0.6272,628.96,317.94,5.0,bikers performing stunts in the air,polygon,,0.604681,0.962581
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,8834,9112,278,1199.1,389.2,0.5362,639.52,276.76,5.0,bikers performing stunts in the air,polygon,,0.51577,0.887369
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,9134,9418,284,1194.8,460.8,0.7098,637.23,327.68,5.0,bikers performing stunts in the air,polygon,,0.683972,0.981596
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,9430,9600,170,1228.0,479.7,0.5967,654.93,341.12,20.0,"motorcycle in mid-air, red and black in color",polygon,,0.564321,0.998838
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,9650,9848,198,711.6,309.7,0.3905,379.52,220.23,2.0,"bike in red and black, airborne with rider performing a stunt",polygon,,0.384312,0.926891
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,9860,10034,174,688.0,300.0,0.4048,366.93,213.33,15.0,building wall.,polygon,,0.390228,0.929743
Encode-Decode_Experiment-6-1,2371471,bike-stuntmen,encoding,2,2,10060,10160,100,671.8,167.6,0.0504,358.29,119.18,15.0,building wall.,polygon,,0.050027,0.659719
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,10168,10476,308,964.0,585.7,0.0214,514.13,416.5,16.0,"bracket in clock's, for wall mounting.",polygon,,0.020992,0.220893
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,10522,10670,148,754.8,297.4,0.4546,402.56,211.48,33.0,"man in a grey jacket and jeans, standing on a ladder, holding a camera",polygon,,0.438404,0.463664
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,10708,11174,466,1023.6,378.1,0.5015,545.92,268.87,13.0,clock in large white hands.,polygon,,0.490093,0.701327
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,11218,11664,446,646.5,261.5,0.3315,344.8,185.96,33.0,"man in a grey jacket and jeans, standing on a ladder, holding a camera",polygon,,0.323654,0.423064
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,11716,11934,218,567.9,699.0,0.7206,302.88,497.07,2.0,building with a balcony and a clock,polygon,,0.714252,0.513233
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,11990,12162,172,1047.3,388.1,0.6356,558.56,275.98,13.0,clock in large white hands.,polygon,,0.615582,0.682645
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,12224,12454,230,1618.5,752.6,0.1971,863.2,535.18,24.0,building with a balcony and windows.,polygon,,0.186546,0.908592
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,12506,12776,270,1591.9,194.0,0.1964,849.01,137.96,2.0,building with a balcony and a clock,polygon,,0.193547,0.559135
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,12830,13004,174,993.0,457.8,0.1705,529.6,325.55,23.0,"man in a black jacket and grey pants, standing on a platform",polygon,,0.167942,0.530279
Encode-Decode_Experiment-6-1,2360001,clock,encoding,3,3,13022,13684,662,1000.1,396.5,0.5174,533.39,281.96,1.0,large round analog clock with white and black colors,polygon,,0.510433,0.67668
