SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-13-1,2383555,encoding,-0.941434,0.043478,0.111478,0.07223,23,1,False,0.250284,0.2218,2,24,33,26,0.7879,0.198782,0.0,6222.0,3.0,2.0,Who is holding the child in the boat?,1.0,3642.0,4.0,4.0,What is the woman at the back doing in the boat?,1.0,1.0,,,,
Encode-Decode_Experiment-13-1,2362704,encoding,-0.569881,0.074074,0.113481,0.06915,27,2,False,0.357824,0.25117,3,30,33,33,1.0,0.260866,1.0,4661.0,4.0,4.0,What are the bears doing with the pumpkins?,1.0,1935.0,2.0,2.0,How many bears are in the scene?,2.0,2.0,,,,
Encode-Decode_Experiment-13-1,2408717,encoding,0.977161,0.291667,0.207042,0.086603,24,7,False,0.27242,0.165683,15,13,38,28,0.7368,0.225013,1.0,5354.0,3.0,3.0,What are the surfers doing with the surfboards?,1.0,3379.0,2.0,2.0,How many surfers are in the scene?,3.0,2.0,,,,
Encode-Decode_Experiment-13-1,2356991,encoding,1.402613,0.307692,0.182385,0.089339,26,8,False,0.119732,0.180797,14,16,33,30,0.9091,0.156088,1.0,11044.0,2.0,2.0,What is the current action of the gloved player on the base?,1.0,8942.0,1.0,1.0,How is the player on the left (from your perspective) reaching the base?,4.0,2.0,,,,
Encode-Decode_Experiment-13-1,2349475,encoding,1.996356,0.458333,0.248625,0.105046,24,11,False,0.100344,0.047474,20,8,35,28,0.8,0.095884,1.0,7850.0,3.0,3.0,Which part of the blender is the woman holding?,1.0,3279.0,1.0,1.0,What is the man doing to power the blender?,5.0,2.0,,,,
Encode-Decode_Experiment-13-1,2412687,encoding,1.426439,0.684211,0.489789,0.136298,19,13,False,0.102174,0.108124,17,7,30,24,0.8,0.108729,0.0,5320.0,2.0,3.0,What is the human's body position?,1.0,5698.0,4.0,4.0,What is the dog biting onto in the scene?,6.0,1.0,,,,
Encode-Decode_Experiment-13-1,2385851,encoding,-0.567677,0.090909,0.136545,0.080391,22,2,False,0.103798,0.287702,5,23,30,28,0.9333,0.256344,1.0,4739.0,2.0,2.0,What are the men doing with the suitcases?,0.0,5823.0,4.0,3.0,Where are the men?,7.0,1.0,,,,
Encode-Decode_Experiment-13-1,2345035,encoding,0.447078,0.428571,0.371048,0.128666,21,9,False,0.15256,0.144497,16,10,35,26,0.7429,0.163761,0.0,6182.0,2.0,3.0,What are the people doing with the football?,1.0,5894.0,2.0,2.0,Who runs toward the football in the scene?,8.0,1.0,,,,
Encode-Decode_Experiment-13-1,2347025,encoding,0.571459,0.727273,0.664545,0.109767,22,16,False,0.091097,0.035702,26,4,30,30,1.0,0.083711,1.0,3674.0,1.0,1.0,Where is the baby in relation to the mother?,1.0,3658.0,2.0,2.0,Who is holding the umbrella in the scene?,11.0,2.0,,,,
Encode-Decode_Experiment-13-1,2410309,encoding,0.80925,0.15,0.0894,0.074884,20,3,False,0.2882,0.303889,6,17,23,23,1.0,0.299796,1.0,4719.0,2.0,2.0,What is the baby touching?,1.0,3730.0,4.0,4.0,How many laptops or electronic devices are visible?,12.0,2.0,,,,
Encode-Decode_Experiment-13-1,2347400,encoding,-0.285091,0.25,0.2829,0.115402,20,5,False,0.19563,0.194686,11,18,33,29,0.8788,0.201439,1.0,4850.0,3.0,3.0,What are the men doing with the wine?,1.0,2984.0,1.0,1.0,What are the men sitting on in the scene?,13.0,2.0,,,,
