SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,mean_meaning,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-28-1,2356125,encoding,0.594387,0.222222,0.165111,0.096084,18,4,False,0.378275,0.242202,9,23,35,32,0.9143,0.275111,0.802449,0.0,11905.0,3.0,1.0,Where is the luggage being moved to?,0.0,3128.0,4.0,2.0,How many uniformed staff are moving the luggage?,1.0,0.0,,,,
Encode-Decode_Experiment-28-1,2397102,encoding,2.855864,0.583333,0.28625,0.104026,24,14,False,0.09291,0.159899,32,5,39,37,0.9487,0.098241,0.587372,1.0,3005.0,1.0,1.0,What are the couple doing with the cake?,1.0,4851.0,3.0,3.0,What is the man holding besides the cake knife?,2.0,2.0,,,,
Encode-Decode_Experiment-28-1,2411268,encoding,2.25941,0.6,0.3204,0.123749,20,12,False,0.273589,0.110114,27,6,38,33,0.8684,0.25143,0.84975,1.0,7901.0,4.0,4.0,Where is the fruit branch relative to the child?,1.0,4285.0,2.0,2.0,What is the child holding while picking fruit?,3.0,2.0,,,,
Encode-Decode_Experiment-28-1,2379478,encoding,1.145984,0.407407,0.28463,0.107137,27,11,False,0.364657,0.359615,22,14,40,36,0.9,0.367585,0.773715,1.0,3911.0,4.0,4.0,What is the position of the babies?,1.0,2027.0,2.0,2.0,How many babies are visible in the scene?,4.0,2.0,,,,
Encode-Decode_Experiment-28-1,2370664,encoding,1.034852,0.28,0.19504,0.082099,25,7,False,0.142085,0.136243,18,25,45,43,0.9556,0.138974,0.75109,1.0,3699.0,1.0,1.0,Where are the people located in the scene?,1.0,2525.0,4.0,4.0,How many donuts are in the scene?,5.0,2.0,,,,
Encode-Decode_Experiment-28-1,2412687,encoding,1.796268,0.681818,0.469182,0.118377,22,15,False,0.124791,0.169352,27,6,38,33,0.8684,0.128193,0.467779,1.0,3070.0,4.0,4.0,What is the dog biting onto in the scene?,1.0,3163.0,3.0,3.0,What is the human's body position?,6.0,2.0,,,,
Encode-Decode_Experiment-28-1,2385550,encoding,3.585952,0.451613,0.183419,0.07479,31,14,False,0.237471,0.278216,29,15,44,44,1.0,0.251361,0.804894,1.0,4835.0,3.0,3.0,Which side of the frame is the boy on? (from your perspective),1.0,2739.0,4.0,4.0,Where are the tangerines in the scene?,7.0,2.0,,,,
Encode-Decode_Experiment-28-1,2394020,encoding,2.218483,0.72,0.46384,0.115466,25,18,False,0.323953,0.421978,35,2,44,37,0.8409,0.328741,0.770296,1.0,6001.0,1.0,1.0,Where is the scene taking place?,1.0,3109.0,2.0,2.0,What are the riders wearing on their heads?,8.0,2.0,,,,
Encode-Decode_Experiment-28-1,2347025,encoding,3.327677,0.782609,0.402522,0.11422,23,18,False,0.080548,0.193364,34,4,40,38,0.95,0.091867,0.69976,1.0,4193.0,2.0,2.0,Who is holding the umbrella in the scene?,1.0,4728.0,1.0,1.0,Where is the baby in relation to the mother?,9.0,2.0,,,,
Encode-Decode_Experiment-28-1,2362704,encoding,-0.518235,0.071429,0.106,0.06671,28,2,False,0.211864,0.230186,4,34,38,38,1.0,0.228257,0.812961,1.0,2872.0,4.0,4.0,What are the bears doing with the pumpkins?,1.0,1621.0,2.0,2.0,How many bears are in the scene?,10.0,2.0,,,,
Encode-Decode_Experiment-28-1,2386442,encoding,2.938314,0.68,0.36216,0.108171,25,17,False,0.153144,0.100157,41,7,48,48,1.0,0.145417,0.866876,1.0,3259.0,1.0,1.0,Who is brushing their teeth in the scene?,1.0,4209.0,3.0,3.0,What is the person on the right wearing?,13.0,2.0,,,,
Encode-Decode_Experiment-28-1,2408717,encoding,0.853033,0.285714,0.213,0.085242,28,8,False,0.252883,0.279115,14,23,40,37,0.925,0.267414,0.782748,1.0,2289.0,2.0,2.0,How many surfers are in the scene?,1.0,2850.0,3.0,3.0,What are the surfers doing with the surfboards?,14.0,2.0,,,,
Encode-Decode_Experiment-28-1,2349475,encoding,1.370267,0.178571,0.094964,0.061015,28,5,False,0.064747,0.074406,13,23,43,36,0.8372,0.088935,0.680364,1.0,6264.0,1.0,1.0,What is the man doing to power the blender?,1.0,3290.0,3.0,3.0,Which part of the blender is the woman holding?,17.0,2.0,,,,
Encode-Decode_Experiment-28-1,2344622,encoding,3.603343,0.368421,0.109895,0.071746,19,7,False,0.16613,0.159963,18,13,41,31,0.7561,0.211549,0.626202,1.0,4468.0,2.0,2.0,Where is the cat located?,1.0,2674.0,4.0,4.0,What is the cat resting its head on?,18.0,2.0,,,,
Encode-Decode_Experiment-28-1,2348899,encoding,5.928374,0.851852,0.273481,0.09756,27,23,False,0.176426,0.132139,40,4,44,44,1.0,0.1724,0.80034,1.0,4226.0,4.0,4.0,What is the woman doing?,0.0,6361.0,4.0,1.0,Where is the woman located relative to the man? (from your perspective),19.0,1.0,,,,
Encode-Decode_Experiment-28-1,2387122,encoding,1.069016,0.52,0.39676,0.115284,25,13,False,0.179439,0.212183,28,9,42,37,0.881,0.178684,0.764671,1.0,6352.0,1.0,1.0,What is the polar bear doing next to the enclosure edge?,1.0,3340.0,3.0,3.0,Where is the polar bear located in the scene?,20.0,2.0,,,,
Encode-Decode_Experiment-28-1,2383555,encoding,-0.401999,0.095238,0.128286,0.082208,21,2,False,0.157418,0.136087,5,23,36,28,0.7778,0.150092,0.759175,0.0,2585.0,3.0,2.0,Who is holding the child in the boat?,1.0,4842.0,4.0,4.0,What is the woman at the back doing in the boat?,22.0,1.0,,,,
Encode-Decode_Experiment-28-1,2410309,encoding,0.363072,0.24,0.20556,0.094857,25,6,False,0.190397,0.283891,16,26,42,42,1.0,0.248274,0.692598,1.0,4383.0,2.0,2.0,What is the baby touching?,1.0,3029.0,4.0,4.0,How many laptops or electronic devices are visible?,24.0,2.0,,,,
Encode-Decode_Experiment-28-1,2347400,encoding,2.24895,0.333333,0.136524,0.087512,21,7,False,0.19992,0.215466,18,17,45,35,0.7778,0.220683,0.797565,1.0,7456.0,3.0,3.0,What are the men doing with the wine?,1.0,3103.0,1.0,1.0,What are the men sitting on in the scene?,25.0,2.0,,,,
Encode-Decode_Experiment-28-1,2356991,encoding,3.106238,0.37037,0.139704,0.074259,27,10,False,0.138368,0.153676,18,18,40,36,0.9,0.13939,0.714442,1.0,7726.0,1.0,1.0,How is the player on the left (from your perspective) reaching the base?,1.0,7766.0,2.0,2.0,What is the current action of the gloved player on the base?,26.0,2.0,,,,
Encode-Decode_Experiment-28-1,2360001,encoding,1.881758,0.241379,0.117897,0.065621,29,7,False,0.304124,0.191678,19,25,44,44,1.0,0.240234,0.514512,1.0,2833.0,4.0,4.0,Where are the men standing?,1.0,3414.0,4.0,4.0,What are the workers doing to the clock?,27.0,2.0,,,,
Encode-Decode_Experiment-28-1,2409918,encoding,3.697028,0.6,0.24868,0.095028,25,15,False,0.135573,0.198627,27,5,37,32,0.8649,0.16487,0.638232,1.0,3751.0,4.0,4.0,Where are the elephants in the scene?,1.0,9300.0,2.0,2.0,What is the elephant on the right (from your perspective) doing with its trunk?,28.0,2.0,,,,
Encode-Decode_Experiment-28-1,2374670,encoding,0.506139,0.416667,0.361167,0.109654,24,10,False,0.257045,0.274126,29,13,42,42,1.0,0.262332,0.771324,1.0,5290.0,1.0,1.0,What vehicle sprays water in the scene?,1.0,4598.0,3.0,3.0,Where is the man standing relative to the vehicle?,30.0,2.0,,,,
Encode-Decode_Experiment-28-1,2350974,encoding,1.563855,0.434783,0.273783,0.102951,23,10,False,0.241161,0.301325,21,15,41,36,0.878,0.260641,0.804853,1.0,4479.0,4.0,4.0,Between which two objects is the child standing?,1.0,5428.0,1.0,1.0,What is the child up against?,31.0,2.0,,,,
