SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,mean_meaning,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-23-1,2411268,encoding,2.746424,0.636364,0.316091,0.116614,22,14,False,0.167567,0.107903,24,7,36,31,0.8611,0.160042,0.80994,1.0,6027.0,2.0,2.0,What is the child holding while picking fruit?,1.0,8146.0,4.0,4.0,Where is the fruit branch relative to the child?,1.0,2.0,,,,
Encode-Decode_Experiment-23-1,2374670,encoding,3.078557,0.6,0.27388,0.105933,25,15,False,0.225483,0.142559,26,7,35,33,0.9429,0.203361,0.725036,0.0,6656.0,2.0,3.0,Where is the man standing relative to the vehicle?,0.0,8156.0,2.0,1.0,What vehicle sprays water in the scene?,2.0,0.0,,,,
Encode-Decode_Experiment-23-1,2408717,encoding,0.377331,0.263158,0.222158,0.108658,19,5,False,0.250477,0.235862,13,14,34,27,0.7941,0.255462,0.754718,1.0,6166.0,3.0,3.0,What are the surfers doing with the surfboards?,0.0,7119.0,1.0,2.0,How many surfers are in the scene?,3.0,1.0,,,,
Encode-Decode_Experiment-23-1,2356991,encoding,0.549417,0.178571,0.134357,0.080475,28,5,False,0.171075,0.214277,10,26,37,36,0.973,0.204944,0.767505,1.0,8759.0,2.0,2.0,What is the current action of the gloved player on the base?,1.0,7631.0,1.0,1.0,How is the player on the left (from your perspective) reaching the base?,4.0,2.0,,,,
Encode-Decode_Experiment-23-1,2410309,encoding,-0.193942,0.181818,0.201318,0.100546,22,4,False,0.232063,0.27374,9,28,37,37,1.0,0.263602,0.710068,1.0,4048.0,4.0,4.0,How many laptops or electronic devices are visible?,1.0,5643.0,2.0,2.0,What is the baby touching?,5.0,2.0,,,,
Encode-Decode_Experiment-23-1,2345035,encoding,0.965339,0.307692,0.216192,0.094785,26,8,False,0.12716,0.252104,15,21,40,36,0.9,0.191533,0.706948,1.0,5773.0,2.0,2.0,Who runs toward the football in the scene?,1.0,4386.0,3.0,3.0,What are the people doing with the football?,6.0,2.0,,,,
Encode-Decode_Experiment-23-1,2397102,encoding,4.601679,0.68,0.23492,0.096721,25,17,False,0.166572,0.064322,28,6,35,34,0.9714,0.147116,0.619879,1.0,5966.0,1.0,1.0,What are the couple doing with the cake?,1.0,4052.0,3.0,3.0,What is the man holding besides the cake knife?,7.0,2.0,,,,
Encode-Decode_Experiment-23-1,2371471,encoding,2.186428,0.619048,0.35681,0.119939,21,13,False,0.347143,0.465245,26,5,31,31,1.0,0.366192,0.819706,0.0,7855.0,1.0,3.0,What is nearest to the motorcyclists?,1.0,9430.0,2.0,2.0,What stunt is one motorcyclist performing?,8.0,1.0,,,,
Encode-Decode_Experiment-23-1,2370664,encoding,3.653767,0.407407,0.141481,0.072781,27,11,False,0.211195,0.112533,24,11,35,35,1.0,0.180187,0.778494,1.0,2965.0,4.0,4.0,How many donuts are in the scene?,1.0,4866.0,1.0,1.0,Where are the people located in the scene?,9.0,2.0,,,,
Encode-Decode_Experiment-23-1,2379478,encoding,3.611856,0.545455,0.186682,0.099332,22,12,False,0.383659,0.308586,25,6,33,31,0.9394,0.37407,0.794575,1.0,4614.0,4.0,4.0,What is the position of the babies?,1.0,2502.0,2.0,2.0,How many babies are visible in the scene?,10.0,2.0,,,,
Encode-Decode_Experiment-23-1,2367132,encoding,6.080379,0.666667,0.160556,0.083237,27,18,False,0.104441,0.094536,28,4,37,32,0.8649,0.10133,0.763876,1.0,7829.0,4.0,4.0,In which hand(s) are the men holding the controllers?,1.0,2916.0,2.0,2.0,How many men are playing in the scene?,11.0,2.0,,,,
Encode-Decode_Experiment-23-1,2394020,encoding,2.6868,0.8,0.47045,0.122655,20,16,False,0.270206,,29,0,32,29,0.9062,0.281743,0.798374,1.0,6356.0,1.0,1.0,Where is the scene taking place?,1.0,8096.0,2.0,2.0,What are the riders wearing on their heads?,12.0,2.0,,,,
Encode-Decode_Experiment-23-1,2360001,encoding,2.157775,0.238095,0.092238,0.067596,21,5,False,0.166746,0.295459,20,17,39,37,0.9487,0.241583,0.653793,1.0,4574.0,4.0,4.0,What are the workers doing to the clock?,1.0,8177.0,4.0,4.0,Where are the men standing?,13.0,2.0,,,,
Encode-Decode_Experiment-23-1,2347400,encoding,-0.759904,0.125,0.194375,0.091294,24,3,False,0.322687,0.302533,9,23,34,32,0.9412,0.297608,0.829964,1.0,3198.0,3.0,3.0,What are the men doing with the wine?,1.0,4542.0,1.0,1.0,What are the men sitting on in the scene?,14.0,2.0,,,,
Encode-Decode_Experiment-23-1,2344622,encoding,1.67608,0.428571,0.254286,0.103984,21,9,False,0.191366,0.163886,16,10,35,26,0.7429,0.236617,0.619033,1.0,5693.0,2.0,2.0,Where is the cat located?,1.0,4147.0,4.0,4.0,What is the cat resting its head on?,15.0,2.0,,,,
Encode-Decode_Experiment-23-1,2412687,encoding,1.479432,0.642857,0.406857,0.159521,14,9,False,0.134524,0.116488,17,4,27,21,0.7778,0.12412,0.513285,0.0,9697.0,2.0,3.0,What is the human's body position?,1.0,3485.0,4.0,4.0,What is the dog biting onto in the scene?,16.0,1.0,,,,
Encode-Decode_Experiment-23-1,2386442,encoding,1.99299,0.684211,0.428789,0.12816,19,13,False,0.113515,0.152429,31,4,35,35,1.0,0.117962,0.86755,1.0,3157.0,1.0,1.0,Who is brushing their teeth in the scene?,1.0,8936.0,3.0,3.0,What is the person on the right wearing?,17.0,2.0,,,,
Encode-Decode_Experiment-23-1,150472,encoding,2.360769,0.45,0.2169,0.098739,20,9,False,0.117788,0.098196,22,8,30,30,1.0,0.112563,0.608983,1.0,3510.0,2.0,2.0,Where is the pizza slice located?,1.0,2962.0,4.0,4.0,How many women are in the scene?,18.0,2.0,,,,
Encode-Decode_Experiment-23-1,2356125,encoding,-0.027292,0.173913,0.176391,0.090803,23,4,False,0.200327,0.231189,9,19,31,28,0.9032,0.224216,0.834393,1.0,5858.0,2.0,2.0,How many uniformed staff are moving the luggage?,0.0,9441.0,2.0,1.0,Where is the luggage being moved to?,19.0,1.0,,,,
Encode-Decode_Experiment-23-1,2383555,encoding,1.593705,0.368421,0.201789,0.104556,19,7,False,0.249534,0.13074,10,14,30,24,0.8,0.159215,0.713139,1.0,4584.0,4.0,4.0,What is the woman at the back doing in the boat?,1.0,3484.0,2.0,2.0,Who is holding the child in the boat?,21.0,2.0,,,,
Encode-Decode_Experiment-23-1,2362704,encoding,1.729411,0.227273,0.105409,0.070465,22,5,False,0.289431,0.238247,9,18,29,27,0.931,0.24384,0.817739,1.0,2696.0,2.0,2.0,How many bears are in the scene?,1.0,4225.0,4.0,4.0,What are the bears doing with the pumpkins?,22.0,2.0,,,,
Encode-Decode_Experiment-23-1,2349475,encoding,-0.258178,0.173913,0.197913,0.092959,23,4,False,0.075025,0.06229,9,25,35,34,0.9714,0.065539,0.674458,1.0,6420.0,1.0,1.0,What is the man doing to power the blender?,1.0,3587.0,3.0,3.0,Which part of the blender is the woman holding?,26.0,2.0,,,,
Encode-Decode_Experiment-23-1,2385550,encoding,1.061309,0.25,0.164333,0.080718,24,6,False,0.234562,0.22911,16,19,35,35,1.0,0.231602,0.757528,1.0,5720.0,4.0,4.0,Where are the tangerines in the scene?,1.0,5363.0,3.0,3.0,Which side of the frame is the boy on? (from your perspective),28.0,2.0,,,,
Encode-Decode_Experiment-23-1,2387122,encoding,2.12281,0.5,0.274182,0.106377,22,11,False,0.104981,0.078858,22,9,32,31,0.9688,0.09576,0.702314,1.0,4900.0,3.0,3.0,Where is the polar bear located in the scene?,1.0,10359.0,1.0,1.0,What is the polar bear doing next to the enclosure edge?,29.0,2.0,,,,
Encode-Decode_Experiment-23-1,2369373,encoding,1.430197,0.47619,0.305095,0.11963,21,10,False,0.203661,0.141228,19,12,33,31,0.9394,0.175831,0.769735,1.0,3977.0,3.0,3.0,What is the appearance of the oven?,0.0,5420.0,2.0,3.0,What tool is the chef using?,33.0,1.0,,,,
Encode-Decode_Experiment-23-1,2347025,encoding,2.384157,0.882353,0.569706,0.131135,17,15,False,0.094957,,28,0,28,28,1.0,0.094957,0.738713,1.0,4935.0,1.0,1.0,Where is the baby in relation to the mother?,1.0,5933.0,2.0,2.0,Who is holding the umbrella in the scene?,36.0,2.0,,,,
Encode-Decode_Experiment-23-1,2348899,encoding,2.83444,0.6,0.250267,0.123387,15,9,False,0.219036,0.044985,27,3,30,30,1.0,0.201631,0.801451,1.0,4262.0,4.0,4.0,What is the woman doing?,1.0,5940.0,1.0,1.0,Where is the woman located relative to the man? (from your perspective),38.0,2.0,,,,
Encode-Decode_Experiment-23-1,2385851,encoding,-0.349177,0.071429,0.103143,0.090826,14,1,False,0.065588,0.178485,2,15,20,17,0.85,0.211784,0.890963,1.0,3985.0,3.0,3.0,Where are the men?,1.0,2191.0,2.0,2.0,What are the men doing with the suitcases?,41.0,2.0,,,,
Encode-Decode_Experiment-23-1,2350974,encoding,1.192582,0.5,0.335,0.138355,16,8,False,0.262388,0.305263,18,9,31,27,0.871,0.296174,0.759865,1.0,4508.0,4.0,4.0,Between which two objects is the child standing?,1.0,11259.0,1.0,1.0,What is the child up against?,47.0,2.0,,,,
Encode-Decode_Experiment-23-1,2409918,encoding,0.692675,0.375,0.29125,0.120908,16,6,False,0.13,0.100796,9,15,26,24,0.9231,0.107644,0.65054,0.0,7471.0,4.0,2.0,What is the elephant on the right (from your perspective) doing with its trunk?,1.0,5164.0,4.0,4.0,Where are the elephants in the scene?,50.0,1.0,,,,
Encode-Decode_Experiment-23-1,2356991,decoding,,,,,0,0,True,,0.019136,0,8,8,8,1.0,0.019136,0.494168,,,,,,,,,,,,,"two baseball players - one of them is diving headfirst towards the other who is wearing a glove and anticipating catching the ball, both men wear white and have caps. A dust cloud is visible where the first player has grazed the orange ground. There is a metal fence in the background.",126852.0,1.0,Which description best matches the image?
Encode-Decode_Experiment-23-1,2412687,decoding,,0.0,0.0,0.0,1,0,True,,0.018258,0,11,11,11,1.0,0.018258,0.273153,,,,,,,,,,,,,"a dog is trying to bite a red frisbee which is held by a person stood upright holding it in their right hand. The dog is a golden retriever or something similar, this takes place in a garden or park.",90571.0,2.0,Which description best matches the image?
Encode-Decode_Experiment-23-1,2408717,decoding,0.724539,0.571429,0.408857,0.224379,7,4,False,0.206516,0.09554,5,4,11,9,0.8182,0.130088,0.665725,,,,,,,,,,,,,four women hold their surfboards as they walk along the beach - the two on the left have red boards and the two on the right have green boards. ?UNKNOWN?Someone else can be seen surfing in the background on a tall wave. the heads of other people - either that or clusters of seaweed - can be seen to the right,126270.0,3.0,Which description best matches the image?
Encode-Decode_Experiment-23-1,2409918,decoding,,1.0,1.0,0.0,1,1,True,0.074317,,7,0,7,7,1.0,0.074317,0.50418,,,,,,,,,,,,,"two elephants, each one with a shirtless man on their backs, are swimming  or sat in the water. The one on the right uses its trunk to get leaves from a tree. ?UNKNOWN?The men are smiling.",93877.0,4.0,Which description best matches the image?
Encode-Decode_Experiment-23-1,2347025,decoding,,1.0,1.0,0.0,3,3,False,0.084764,,5,0,6,5,0.8333,0.090286,0.752667,,,,,,,,,,,,,"A baby/toddler (female) is held onto an older woman's back by?UNKNOWN? a sling. The infant holds a red umbrella above its head. The woman has wrinkled skin. Neither person has a happy expression on their face. They both have dark hair, the infants is a bob cut.",137900.0,5.0,Which description best matches the image?
